證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,外資買賣超合計,資料日期
2324,仁寶            ,91160046,21793762,69366284,0,0,0,0,21000,-21000,1671047,559115,359000,200115,2071402,600470,1470932,71016331,69366284,20260904
00685L,群益臺灣加權正2 ,25224634,10080000,15144634,0,0,0,0,0,0,55538224,0,0,0,84538214,28999990,55538224,70682858,15144634,20260904
00403A,主動統一升級50  ,61074800,27100500,33974300,0,0,0,0,0,0,27977527,220000,0,220000,37064291,9306764,27757527,61951827,33974300,20260904
00631L,元大台灣50正2   ,30250542,11431000,18819542,0,0,0,0,0,0,42001228,0,0,0,46921964,4920736,42001228,60820770,18819542,20260904
00878,國泰永續高股息  ,18466475,2444350,16022125,0,0,0,0,0,0,24853508,1056818,0,1056818,30516785,6720095,23796690,40875633,16022125,20260904
009816,凱基台灣TOP50   ,9380861,8403322,977539,0,0,0,0,0,0,31196718,140000,159000,-19000,37493764,6278046,31215718,32174257,977539,20260904
2317,鴻海            ,37165393,10757602,26407791,0,0,0,1212278,67000,1145278,1370181,1105000,282030,822970,622599,75388,547211,28923250,26407791,20260904
2303,聯電            ,69149376,42598677,26550699,0,0,0,2588000,114000,2474000,-838039,761000,1554079,-793079,898473,943433,-44960,28186660,26550699,20260904
3231,緯創            ,44669998,20744693,23925305,0,0,0,3449000,14000,3435000,366699,1516000,1242232,273768,623131,530200,92931,27727004,23925305,20260904
0050,元大台灣50      ,19635192,6728803,12906389,0,0,0,0,0,0,9363556,1607000,253000,1354000,9685215,1675659,8009556,22269945,12906389,20260904
00940,元大台灣價值高息,7528000,2046000,5482000,0,0,0,0,0,0,14455985,0,0,0,14537462,81477,14455985,19937985,5482000,20260904
00990A,主動元大AI新經濟,14051250,2484000,11567250,0,0,0,0,0,0,8085184,0,0,0,11654059,3568875,8085184,19652434,11567250,20260904
2327,國巨*           ,27074006,8548174,18525832,0,0,0,11000,53000,-42000,261593,277701,211675,66026,308285,112718,195567,18745425,18525832,20260904
2886,兆豐金          ,19628181,6585644,13042537,0,0,0,3519000,62000,3457000,-621933,89000,416502,-327502,50000,344431,-294431,15877604,13042537,20260904
2892,第一金          ,25871641,11548013,14323628,0,0,0,1369000,62000,1307000,102019,79000,0,79000,60019,37000,23019,15732647,14323628,20260904
2353,宏碁            ,23207460,8904000,14303460,0,0,0,211000,46000,165000,587667,241000,14000,227000,479951,119284,360667,15056127,14303460,20260904
00988A,主動統一全球創新,13139200,923000,12216200,0,0,0,0,0,0,2000000,0,0,0,5231000,3231000,2000000,14216200,12216200,20260904
2356,英業達          ,21647033,8202851,13444182,0,0,0,300000,18000,282000,449138,97000,7000,90000,404010,44872,359138,14175320,13444182,20260904
2377,微星            ,14596038,3644520,10951518,0,0,0,1523000,5000,1518000,884993,447742,39488,408254,636640,159901,476739,13354511,10951518,20260904
2382,廣達            ,16033172,3196388,12836784,0,0,0,259000,17000,242000,85397,200127,87600,112527,29000,56130,-27130,13164181,12836784,20260904
2884,玉山金          ,44840702,36653976,8186726,0,0,0,5307000,69000,5238000,-685222,297000,454000,-157000,130452,658674,-528222,12739504,8186726,20260904
0056,元大高股息      ,11478227,946295,10531932,0,0,0,0,0,0,2015506,159566,729390,-569824,2889026,303696,2585330,12547438,10531932,20260904
009824,群益美國科技巨頭,6996000,10000,6986000,0,0,0,0,0,0,5386089,0,0,0,7162089,1776000,5386089,12372089,6986000,20260904
2426,鼎元            ,22977877,11779115,11198762,0,0,0,0,0,0,93835,47000,23923,23077,200300,129542,70758,11292597,11198762,20260904
2492,華新科          ,13456557,3214380,10242177,0,0,0,0,2000,-2000,389747,284000,68000,216000,584714,410967,173747,10629924,10242177,20260904
2883,凱基金          ,27626860,17619560,10007300,0,0,0,503000,61000,442000,96068,248000,0,248000,274516,426448,-151932,10545368,10007300,20260904
00405A,主動富邦台灣龍耀,10463000,3578000,6885000,0,0,0,0,0,0,3649146,201000,0,201000,12222193,8774047,3448146,10534146,6885000,20260904
009829,大華韓國KOSPI50 ,452000,438000,14000,0,0,0,0,0,0,10472669,0,50000,-50000,15310669,4788000,10522669,10486669,14000,20260904
4938,和碩            ,13980893,4677883,9303010,0,0,0,117000,91059,25941,345407,162878,16000,146878,259992,61463,198529,9674358,9303010,20260904
3714,富采            ,16157067,6578947,9578120,0,0,0,0,0,0,-5805,262106,268110,-6004,43978,43779,199,9572315,9578120,20260904
00665L,富邦恒生國企正2 ,1299000,240000,1059000,0,0,0,0,0,0,8401425,0,0,0,9902593,1501168,8401425,9460425,1059000,20260904
00637L,元大滬深300正2  ,2629000,45000,2584000,0,0,0,0,0,0,6368501,0,0,0,9479586,3111085,6368501,8952501,2584000,20260904
00991A,主動復華未來50  ,21563060,19451000,2112060,0,0,0,0,0,0,6729736,100000,808822,-708822,16573562,9135004,7438558,8841796,2112060,20260904
2885,元大金          ,14530770,6587306,7943464,0,0,0,1126000,90000,1036000,-211785,0,190000,-190000,155674,177459,-21785,8767679,7943464,20260904
00992A,主動群益科技創新,13826210,10516000,3310210,0,0,0,0,0,0,5005405,600000,0,600000,11435030,7029625,4405405,8315615,3310210,20260904
00981A,主動統一台股增長,22064569,18166218,3898351,0,0,0,0,0,0,4291698,2254000,303000,1951000,25781307,23440609,2340698,8190049,3898351,20260904
04026C,臺股指元大63牛28,0,0,0,0,0,0,0,0,0,8124000,0,0,0,8864000,740000,8124000,8124000,0,20260904
00680L,元大美債20正2   ,122000,3000,119000,0,0,0,0,0,0,7917028,0,0,0,7961274,44246,7917028,8036028,119000,20260904
5880,合庫金          ,17179532,9394684,7784848,0,0,0,0,73000,-73000,220000,144000,2000,142000,80000,2000,78000,7931848,7784848,20260904
00753L,中信中國50正2   ,4495000,639000,3856000,0,0,0,0,0,0,3894066,0,0,0,4997250,1103184,3894066,7750066,3856000,20260904
00900,富邦特選高股息30,2915000,929500,1985500,0,0,0,0,0,0,5485116,0,0,0,5890319,405203,5485116,7470616,1985500,20260904
2891,中信金          ,22191743,17108457,5083286,0,0,0,2200000,140000,2060000,-301564,123000,136000,-13000,89484,378048,-288564,6841722,5083286,20260904
2889,國票金          ,12678433,5956000,6722433,0,0,0,0,0,0,22788,23000,0,23000,0,212,-212,6745221,6722433,20260904
070324,緯創元大61購09  ,0,0,0,0,0,0,0,0,0,6652000,0,0,0,7095000,443000,6652000,6652000,0,20260904
062095,迅得元大5C購02  ,0,0,0,0,0,0,0,0,0,6495000,0,0,0,6587000,92000,6495000,6495000,0,20260904
00982A,主動群益台灣強棒,6818000,1872000,4946000,0,0,0,0,0,0,1503393,380000,0,380000,4123992,3000599,1123393,6449393,4946000,20260904
0052,富邦科技        ,3789767,378000,3411767,0,0,0,0,0,0,2850142,384000,17000,367000,3605608,1122466,2483142,6261909,3411767,20260904
073546,台郡元大5C購05  ,0,0,0,0,0,0,0,0,0,6169000,0,0,0,6208000,39000,6169000,6169000,0,20260904
00407A,主動凱基台灣    ,3575000,6142000,-2567000,0,0,0,0,0,0,8616730,0,0,0,15244572,6627842,8616730,6049730,-2567000,20260904
054157,士電元大5C購01  ,0,0,0,0,0,0,0,0,0,6025000,0,0,0,6026000,1000,6025000,6025000,0,20260904
2312,金寶            ,6817416,1508462,5308954,0,0,0,0,0,0,433339,356000,142000,214000,354339,135000,219339,5742293,5308954,20260904
2301,光寶科          ,14086771,9311918,4774853,0,0,0,522000,10000,512000,303181,409761,122190,287571,143467,127857,15610,5590034,4774853,20260904
2313,華通            ,21127667,17251083,3876584,0,0,0,791000,5000,786000,638609,809150,451000,358150,614543,334084,280459,5301193,3876584,20260904
00881,國泰台灣科技龍頭,5603110,1672000,3931110,0,0,0,0,0,0,1229886,0,0,0,5343308,4113422,1229886,5160996,3931110,20260904
070062,台積電元大61購41,0,0,0,0,0,0,0,0,0,5040000,0,0,0,5070000,30000,5040000,5040000,0,20260904
071082,晶技凱基5C購01  ,0,0,0,0,0,0,0,0,0,4995000,0,0,0,5000000,5000,4995000,4995000,0,20260904
3090,日電貿          ,6622896,1726000,4896896,0,0,0,82000,0,82000,13833,3000,20000,-17000,133637,102804,30833,4992729,4896896,20260904
04019C,臺股指元大65牛13,0,0,0,0,0,0,0,0,0,4973000,0,0,0,4983000,10000,4973000,4973000,0,20260904
2388,威盛            ,6849731,2503106,4346625,0,0,0,0,0,0,242892,316348,157000,159348,166304,82760,83544,4589517,4346625,20260904
6271,同欣電          ,7493630,3150686,4342944,0,0,0,123000,0,123000,103882,69000,43000,26000,267021,189139,77882,4569826,4342944,20260904
057334,華城元大5C購01  ,0,0,0,0,0,0,0,0,0,4349000,0,0,0,4432000,83000,4349000,4349000,0,20260904
2352,佳世達          ,4813117,1018000,3795117,0,0,0,417000,0,417000,22213,19000,2000,17000,112918,107705,5213,4234330,3795117,20260904
00882,中信中國高股息  ,1226000,11000,1215000,0,0,0,0,0,0,2954668,0,0,0,3224668,270000,2954668,4169668,1215000,20260904
063254,金像電元大61購03,0,0,0,0,0,0,0,0,0,3941000,0,0,0,4758000,817000,3941000,3941000,0,20260904
2347,聯強            ,4183949,646101,3537848,0,0,0,385000,10959,374041,25261,16000,3011,12989,41567,29295,12272,3937150,3537848,20260904
2880,華南金          ,10300343,6323347,3976996,0,0,0,36000,61000,-25000,-83320,77000,0,77000,78345,238665,-160320,3868676,3976996,20260904
081239,金像電元大62購02,0,0,0,0,0,0,0,0,0,3859000,0,0,0,3932000,73000,3859000,3859000,0,20260904
081661,貿聯元大62購06  ,0,0,0,0,0,0,0,0,0,3804000,0,0,0,3804000,0,3804000,3804000,0,20260904
064712,智邦元大61購06  ,0,0,0,0,0,0,0,0,0,3795000,0,0,0,3866000,71000,3795000,3795000,0,20260904
073249,漢唐元大5C購13  ,0,0,0,0,0,0,0,0,0,3706000,0,0,0,4464000,758000,3706000,3706000,0,20260904
