證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,外資買賣超合計,資料日期
00403A,主動統一升級50  ,112174000,9372320,102801680,0,0,0,0,0,0,155587441,12891000,180000,12711000,150635441,7759000,142876441,258389121,102801680,20260918
00685L,群益臺灣加權正2 ,9353156,6341000,3012156,0,0,0,0,0,0,126160708,379000,3000,376000,144987132,19202424,125784708,129172864,3012156,20260918
00631L,元大台灣50正2   ,35191011,10465870,24725141,0,0,0,0,0,0,71699246,142000,389000,-247000,80087219,8140973,71946246,96424387,24725141,20260918
6770,力積電          ,106234751,28549608,77685143,0,0,0,3803009,0,3803009,7791436,4912278,28000,4884278,3296881,389723,2907158,89279588,77685143,20260918
00981A,主動統一台股增長,63639220,8985100,54654120,0,0,0,0,0,0,25561743,2670066,2705000,-34934,31025535,5428858,25596677,80215863,54654120,20260918
00405A,主動富邦台灣龍耀,30037025,2761300,27275725,0,0,0,0,0,0,34189488,1602000,0,1602000,52482443,19894955,32587488,61465213,27275725,20260918
2344,華邦電          ,76481124,33706892,42774232,0,0,0,254114,463000,-208886,3489976,3547583,526415,3021168,596249,127441,468808,46055322,42774232,20260918
2303,聯電            ,121794709,93429141,28365568,0,0,0,19720456,6090268,13630188,3573793,6092892,3619000,2473892,2290714,1190813,1099901,45569549,28365568,20260918
2408,南亞科          ,49431792,17198786,32233006,0,0,0,5533327,1555753,3977574,1100734,1323914,418748,905166,342357,146789,195568,37311314,32233006,20260918
00407A,主動凱基台灣    ,17526000,1944400,15581600,0,0,0,0,0,0,17431641,600000,0,600000,22862058,6030417,16831641,33013241,15581600,20260918
2449,京元電子        ,29807826,8026946,21780880,0,0,0,864000,1010035,-146035,3040136,2483833,478511,2005322,1204272,169458,1034814,24674981,21780880,20260918
00991A,主動復華未來50  ,21888000,5749650,16138350,0,0,0,0,0,0,8272559,700000,0,700000,13960894,6388335,7572559,24410909,16138350,20260918
00400A,主動國泰動能高息,17572050,1035000,16537050,0,0,0,0,0,0,4961850,0,0,0,8825068,3863218,4961850,21498900,16537050,20260918
00406A,主動中信台灣收益,17967100,7457000,10510100,0,0,0,0,0,0,9320855,0,0,0,53847635,44526780,9320855,19830955,10510100,20260918
00929,復華台灣科技優息,10203473,763454,9440019,0,0,0,0,0,0,9756773,10000,0,10000,16775726,7028953,9746773,19196792,9440019,20260918
