證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,外資買賣超合計,資料日期
00403A,主動統一升級50  ,82945186,18449050,64496136,0,0,0,0,0,0,127820386,0,0,0,144284386,16464000,127820386,192316522,64496136,20260924
00981A,主動統一台股增長,58788463,22341820,36446643,0,0,0,0,0,0,46032153,1739103,0,1739103,56835986,12542936,44293050,82478796,36446643,20260924
00407A,主動凱基台灣    ,6271000,9353000,-3082000,0,0,0,0,0,0,36110250,0,0,0,40628348,4518098,36110250,33028250,-3082000,20260924
00991A,主動復華未來50  ,23124354,13454000,9670354,0,0,0,0,0,0,17629666,430822,300000,130822,23725433,6226589,17498844,27300020,9670354,20260924
00405A,主動富邦台灣龍耀,9234000,12394199,-3160199,0,0,0,0,0,0,29367293,0,150000,-150000,41220349,11703056,29517293,26207094,-3160199,20260924
00632R,元大台灣50反1   ,2474000,809000,1665000,0,0,0,0,0,0,16888025,0,0,0,21574519,4686494,16888025,18553025,1665000,20260924
00409A,主動復華全球50  ,14141000,794000,13347000,0,0,0,0,0,0,1577161,0,0,0,10812000,9234839,1577161,14924161,13347000,20260924
1303,南亞            ,31998826,14196569,17802257,0,0,0,579000,5646000,-5067000,1504545,1066417,293000,773417,898227,167099,731128,14239802,17802257,20260924
8150,南茂            ,40932634,26283489,14649145,0,0,0,10000,0,10000,-773958,1056000,2024000,-968000,728659,534617,194042,13885187,14649145,20260924
00992A,主動群益科技創新,9793250,3700000,6093250,0,0,0,0,0,0,6947590,1053000,100000,953000,10179421,4184831,5994590,13040840,6093250,20260924
009828,中信台日韓PCB   ,21321000,15030000,6291000,0,0,0,0,0,0,4856311,0,0,0,16804530,11948219,4856311,11147311,6291000,20260924
3016,嘉晶            ,16756990,8500891,8256099,0,0,0,0,0,0,307378,93000,124000,-31000,519145,180767,338378,8563477,8256099,20260924
086980,美時統一61購01  ,0,0,0,0,0,0,0,0,0,8443000,0,0,0,8449000,6000,8443000,8443000,0,20260924
3189,景碩            ,15321645,8487435,6834210,0,0,0,1094001,110000,984001,517243,588824,181194,407630,815991,706378,109613,8335454,6834210,20260924
3231,緯創            ,22876405,15003321,7873084,0,0,0,439000,1393000,-954000,661588,236000,56050,179950,559862,78224,481638,7580672,7873084,20260924
009820,元大納斯達克精選,743000,72000,671000,0,0,0,0,0,0,5902481,0,0,0,6855263,952782,5902481,6573481,671000,20260924
00982A,主動群益台灣強棒,5101650,1651000,3450650,0,0,0,0,0,0,3056274,70000,0,70000,4705711,1719437,2986274,6506924,3450650,20260924
00988A,主動統一全球創新,4856020,2444000,2412020,0,0,0,0,132000,-132000,3371000,0,50000,-50000,3619000,198000,3421000,5651020,2412020,20260924
056068,金像電統一72購02,0,0,0,0,0,0,0,0,0,5463000,0,0,0,6551000,1088000,5463000,5463000,0,20260924
00400A,主動國泰動能高息,7228500,2365400,4863100,0,0,0,0,0,0,575144,0,0,0,4294530,3719386,575144,5438244,4863100,20260924
00402A,主動安聯美國科技,6468066,132900,6335166,0,0,0,0,0,0,-947037,0,0,0,2220383,3167420,-947037,5388129,6335166,20260924
9105,泰金寶-DR       ,4739000,425000,4314000,0,0,0,0,0,0,141035,0,0,0,148035,7000,141035,4455035,4314000,20260924
043522,神達元大5B購01  ,0,0,0,0,0,0,0,0,0,4292000,0,0,0,4292000,0,4292000,4292000,0,20260924
080570,金像電統一6B購03,0,0,0,0,0,0,0,0,0,4143000,0,0,0,4478000,335000,4143000,4143000,0,20260924
00990A,主動元大AI新經濟,2409000,489140,1919860,0,0,0,0,0,0,2113059,0,0,0,2476000,362941,2113059,4032919,1919860,20260924
03059T,日本2X元大5B售01,0,0,0,0,0,0,0,0,0,3893000,0,0,0,3893000,0,3893000,3893000,0,20260924
063927,惠特國票5B購01  ,0,0,0,0,0,0,0,0,0,3677000,0,0,0,3744000,67000,3677000,3677000,0,20260924
2027,大成鋼          ,5738768,3593295,2145473,0,0,0,468000,13000,455000,930169,11000,0,11000,941739,22570,919169,3530642,2145473,20260924
082335,臺指反元大65購02,0,0,0,0,0,0,0,0,0,3476000,0,0,0,3477000,1000,3476000,3476000,0,20260924
3702,大聯大          ,4754124,1895885,2858239,0,0,0,1324000,910000,414000,179238,40000,0,40000,181184,41946,139238,3451477,2858239,20260924
2492,華新科          ,6427869,3283336,3144533,0,0,0,1000,0,1000,251770,168550,24000,144550,138319,31099,107220,3397303,3144533,20260924
081061,旺宏永豐63購04  ,0,0,0,0,0,0,0,0,0,3359000,0,0,0,3425000,66000,3359000,3359000,0,20260924
00993A,主動安聯台灣    ,1129000,730000,399000,0,0,0,0,0,0,2875765,0,0,0,4378013,1502248,2875765,3274765,399000,20260924
063594,眾達統一64購01  ,0,0,0,0,0,0,0,0,0,3259000,0,0,0,3320000,61000,3259000,3259000,0,20260924
3026,禾伸堂          ,5077460,2147764,2929696,0,0,0,164000,0,164000,3050,43000,56000,-13000,192899,176849,16050,3096746,2929696,20260924
6672,騰輝電子-KY     ,5273963,2418050,2855913,0,0,0,0,3000,-3000,87834,52000,8000,44000,176352,132518,43834,2940747,2855913,20260924
4566,時碩工業        ,3528844,637430,2891414,0,0,0,0,0,0,6847,5000,0,5000,17847,16000,1847,2898261,2891414,20260924
00997A,主動群益美國增長,3269000,920000,2349000,0,0,0,0,0,0,458785,0,0,0,2223105,1764320,458785,2807785,2349000,20260924
009824,群益美國科技巨頭,1018000,42000,976000,0,0,0,0,0,0,1830563,0,0,0,2239000,408437,1830563,2806563,976000,20260924
2412,中華電          ,4609185,1746522,2862663,0,0,0,85000,6000,79000,-194020,0,10000,-10000,35000,219020,-184020,2747643,2862663,20260924
085487,鴻勁富邦65購01  ,0,0,0,0,0,0,0,0,0,2710000,0,0,0,3076000,366000,2710000,2710000,0,20260924
058731,鴻海國票5A購01  ,0,0,0,0,0,0,0,0,0,2699000,0,0,0,3130000,431000,2699000,2699000,0,20260924
087691,保瑞統一61購01  ,0,0,0,0,0,0,0,0,0,2646000,0,0,0,2647000,1000,2646000,2646000,0,20260924
078274,美費半元大63購01,0,0,0,0,0,0,0,0,0,2557000,0,0,0,2598000,41000,2557000,2557000,0,20260924
03276T,台灣50凱基5C售10,0,0,0,0,0,0,0,0,0,2555000,0,0,0,2565000,10000,2555000,2555000,0,20260924
2030,彰源            ,4128687,1632042,2496645,0,0,0,0,0,0,54197,67197,13000,54197,0,0,0,2550842,2496645,20260924
062228,長興國票5A購02  ,0,0,0,0,0,0,0,0,0,2534000,0,0,0,2534000,0,2534000,2534000,0,20260924
082334,臺指反元大64購02,0,0,0,0,0,0,0,0,0,2515000,0,0,0,2515000,0,2515000,2515000,0,20260924
064707,台玻元大5C購04  ,0,0,0,0,0,0,0,0,0,2514000,0,0,0,2577000,63000,2514000,2514000,0,20260924
2034,允強            ,3411786,977147,2434639,0,0,0,0,0,0,13248,14000,1000,13000,45312,45064,248,2447887,2434639,20260924
083480,大立光永豐65購03,0,0,0,0,0,0,0,0,0,2438000,0,0,0,2502000,64000,2438000,2438000,0,20260924
064786,智邦富邦61購02  ,0,0,0,0,0,0,0,0,0,2377000,0,0,0,2377000,0,2377000,2377000,0,20260924
2892,第一金          ,8392592,6821283,1571309,0,0,0,759000,116000,643000,147909,30000,18,29982,190358,72431,117927,2362218,1571309,20260924
2327,國巨*           ,14609264,12476784,2132480,0,0,0,84000,350000,-266000,472468,378723,32629,346094,190629,64255,126374,2338948,2132480,20260924
074946,貿聯凱基61購06  ,0,0,0,0,0,0,0,0,0,2264000,0,0,0,2280000,16000,2264000,2264000,0,20260924
00940,元大台灣價值高息,407002,384000,23002,0,0,0,0,0,0,2213605,0,0,0,3869329,1655724,2213605,2236607,23002,20260924
032944,漢唐統一64購01  ,0,0,0,0,0,0,0,0,0,2219000,0,0,0,2220000,1000,2219000,2219000,0,20260924
066376,寶成台新65購01  ,0,0,0,0,0,0,0,0,0,2184000,0,0,0,2385000,201000,2184000,2184000,0,20260924
083782,貿聯群益63購05  ,0,0,0,0,0,0,0,0,0,2150000,0,0,0,2229000,79000,2150000,2150000,0,20260924
065526,亞翔元大5B購07  ,0,0,0,0,0,0,0,0,0,2063000,0,0,0,2120000,57000,2063000,2063000,0,20260924
068611,漢唐富邦61購03  ,0,0,0,0,0,0,0,0,0,2021000,0,0,0,2055000,34000,2021000,2021000,0,20260924
077056,貿聯中信62購01  ,0,0,0,0,0,0,0,0,0,1966000,0,0,0,2045000,79000,1966000,1966000,0,20260924
1301,台塑            ,8515528,7047341,1468187,0,0,0,0,0,0,485588,126000,1867,124133,385257,23802,361455,1953775,1468187,20260924
8028,昇陽半導體      ,2317936,2867263,-549327,0,0,0,2309000,0,2309000,174445,51000,45082,5918,201134,32607,168527,1934118,-549327,20260924
