證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,外資買賣超合計,資料日期
00403A,主動統一升級50  ,130806103,18797307,112008796,0,0,0,0,0,0,135640339,0,0,0,138523670,2883331,135640339,247649135,112008796,20260907
00685L,群益臺灣加權正2 ,9444135,11341100,-1896965,0,0,0,0,0,0,187919465,0,0,0,199225431,11305966,187919465,186022500,-1896965,20260907
2409,友達            ,217934327,61354704,156579623,0,0,0,5000,1127,3873,21239157,11905190,989000,10916190,11429866,1106899,10322967,177822653,156579623,20260907
00631L,元大台灣50正2   ,21883189,13820677,8062512,0,0,0,0,0,0,152269261,711000,0,711000,153384572,1826311,151558261,160331773,8062512,20260907
6770,力積電          ,142331488,29687299,112644189,0,0,0,7438000,11000,7427000,6002433,3559000,593000,2966000,3389689,353256,3036433,126073622,112644189,20260907
00981A,主動統一台股增長,73358246,17604527,55753719,0,0,0,0,0,0,33916681,2247919,508000,1739919,41850303,9673541,32176762,89670400,55753719,20260907
0050,元大台灣50      ,51434855,7464919,43969936,0,0,0,2700000,0,2700000,10531452,1023000,1182000,-159000,12961061,2270609,10690452,57201388,43969936,20260907
2303,聯電            ,86440387,47872378,38568009,0,0,0,16422000,1561995,14860005,-848961,3969511,5355000,-1385489,3240897,2704369,536528,52579053,38568009,20260907
2344,華邦電          ,66697847,19311215,47386632,0,0,0,39000,1399001,-1360001,3928430,3762656,563000,3199656,825889,97115,728774,49955061,47386632,20260907
3481,群創            ,94926654,50751521,44175133,0,0,0,0,37714,-37714,3761839,4416990,2010000,2406990,1812891,458042,1354849,47899258,44175133,20260907
00405A,主動富邦台灣龍耀,11161000,4236600,6924400,0,0,0,0,0,0,35580732,3153000,0,3153000,40937950,8510218,32427732,42505132,6924400,20260907
00991A,主動復華未來50  ,26857700,8517087,18340613,0,0,0,0,0,0,20550670,1033000,300000,733000,26909437,7091767,19817670,38891283,18340613,20260907
00407A,主動凱基台灣    ,1880973,686600,1194373,0,0,0,0,0,0,26698492,0,0,0,31247982,4549490,26698492,27892865,1194373,20260907
00400A,主動國泰動能高息,16207065,1312000,14895065,0,0,0,0,0,0,10929500,250000,240000,10000,13726711,2807211,10919500,25824565,14895065,20260907
00406A,主動中信台灣收益,25927000,5990900,19936100,0,0,0,0,0,0,4596272,0,0,0,25730828,21134556,4596272,24532372,19936100,20260907
00891,中信關鍵半導體  ,11762019,1309200,10452819,0,0,0,0,0,0,12299064,0,0,0,12359726,60662,12299064,22751883,10452819,20260907
3711,日月光投控      ,21943563,3587946,18355617,0,0,0,139000,649015,-510015,673419,570615,157000,413615,594614,334810,259804,18519021,18355617,20260907
2330,台積電          ,19196661,3061347,16135314,0,0,0,84000,451588,-367588,720108,562313,75500,486813,346574,113279,233295,16487834,16135314,20260907
00878,國泰永續高股息  ,3973993,2820266,1153727,0,0,0,0,0,0,15161674,343252,14000,329252,21972958,7140536,14832422,16315401,1153727,20260907
00881,國泰台灣科技龍頭,8130019,1100593,7029426,0,0,0,0,0,0,9016607,1100000,15000,1085000,8594607,663000,7931607,16046033,7029426,20260907
2408,南亞科          ,26791329,13098063,13693266,0,0,0,396000,44290,351710,610286,894351,331132,563219,138205,91138,47067,14655262,13693266,20260907
0052,富邦科技        ,5485186,721108,4764078,0,0,0,0,0,0,9669194,1692486,2220000,-527514,10461482,264774,10196708,14433272,4764078,20260907
