證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,外資買賣超合計,資料日期
2834,臺企銀          ,41363028,18677581,22685447,0,0,0,0,0,0,285000,0,62000,-62000,379000,32000,347000,22970447,22685447,20260914
2303,聯電            ,53498974,39800234,13698740,0,0,0,4622000,241000,4381000,130594,1249000,1533437,-284437,1197337,782306,415031,18210334,13698740,20260914
2481,強茂            ,28349948,11721280,16628668,0,0,0,0,0,0,485644,614000,315150,298850,552212,365418,186794,17114312,16628668,20260914
2892,第一金          ,24639493,12856212,11783281,0,0,0,4020000,97000,3923000,183096,333182,528000,-194818,653351,275437,377914,15889377,11783281,20260914
2887,台新新光金      ,23102145,14608043,8494102,0,0,0,5486000,0,5486000,-103311,479815,820000,-340185,1119874,883000,236874,13876791,8494102,20260914
2412,中華電          ,14600309,2751611,11848698,0,0,0,87000,0,87000,-334184,7000,84000,-77000,20000,277184,-257184,11601514,11848698,20260914
00990A,主動元大AI新經濟,1200300,778000,422300,0,0,0,0,0,0,9991813,5000,0,5000,11057769,1070956,9986813,10414113,422300,20260914
00664R,國泰臺灣加權反1 ,1000,1000,0,0,0,0,0,0,0,8630000,100000,0,100000,12831000,4301000,8530000,8630000,0,20260914
2891,中信金          ,20164612,14951780,5212832,0,0,0,3181182,50000,3131182,76932,442000,503178,-61178,815453,677343,138110,8420946,5212832,20260914
2889,國票金          ,10345020,2153000,8192020,0,0,0,0,0,0,108999,109000,0,109000,0,1,-1,8301019,8192020,20260914
5880,合庫金          ,15864490,8087795,7776695,0,0,0,0,154150,-154150,187498,143000,0,143000,54517,10019,44498,7810043,7776695,20260914
2886,兆豐金          ,11563521,7622885,3940636,0,0,0,3063000,0,3063000,-133089,170000,571030,-401030,400923,132982,267941,6870547,3940636,20260914
00686R,群益臺灣加權反1 ,1000,1000,0,0,0,0,0,0,0,6691000,200000,0,200000,7313500,822500,6491000,6691000,0,20260914
00405A,主動富邦台灣龍耀,6668660,10628050,-3959390,0,0,0,0,0,0,10644498,441000,100000,341000,17311112,7007614,10303498,6685108,-3959390,20260914
6770,力積電          ,37651096,30312876,7338220,0,0,0,0,0,0,-880820,579604,1269000,-689396,1260005,1451429,-191424,6457400,7338220,20260914
00940,元大台灣價值高息,286100,593000,-306900,0,0,0,0,0,0,6641002,0,70000,-70000,6785861,74859,6711002,6334102,-306900,20260914
2897,王道銀行        ,7567053,1618000,5949053,0,0,0,0,243000,-243000,83016,83000,0,83000,1000,984,16,5789069,5949053,20260914
076224,友達永豐61購11  ,0,0,0,0,0,0,0,0,0,5659000,0,0,0,5696000,37000,5659000,5659000,0,20260914
2845,遠東銀          ,5805907,4103000,1702907,0,0,0,3825000,0,3825000,10445,10000,0,10000,1000,555,445,5538352,1702907,20260914
2881,富邦金          ,11738505,7218776,4519729,0,0,0,509000,0,509000,461558,461067,261000,200067,516289,254798,261491,5490287,4519729,20260914
074594,晶技台新61購02  ,0,0,0,0,0,0,0,0,0,5350000,0,0,0,5551000,201000,5350000,5350000,0,20260914
075901,晶技凱基61購05  ,0,0,0,0,0,0,0,0,0,4960000,0,0,0,5000000,40000,4960000,4960000,0,20260914
071304,晶技凱基61購01  ,0,0,0,0,0,0,0,0,0,4813000,0,0,0,4871000,58000,4813000,4813000,0,20260914
072825,晶技永豐5C購04  ,0,0,0,0,0,0,0,0,0,4807000,0,0,0,5585000,778000,4807000,4807000,0,20260914
03733B,臺股指凱基65熊07,0,0,0,0,0,0,0,0,0,4561000,0,0,0,5066000,505000,4561000,4561000,0,20260914
074595,晶技台新61購03  ,0,0,0,0,0,0,0,0,0,4472000,0,0,0,4482000,10000,4472000,4472000,0,20260914
00988A,主動統一全球創新,3159195,2255000,904195,0,0,0,0,268000,-268000,3681792,0,200000,-200000,5865000,1983208,3881792,4317987,904195,20260914
073659,晶技凱基61購02  ,0,0,0,0,0,0,0,0,0,4282000,0,0,0,4482000,200000,4282000,4282000,0,20260914
2353,宏碁            ,8471853,4123000,4348853,0,0,0,341000,0,341000,-525139,26000,522000,-496000,49547,78686,-29139,4164714,4348853,20260914
