證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,外資買賣超合計,資料日期
2891,中信金          ,48901319,35104740,13796579,0,0,0,3378538,380000,2998538,-249750,366000,193000,173000,605581,1028331,-422750,16545367,13796579,20260915
2412,中華電          ,14587783,2752185,11835598,0,0,0,15000,48000,-33000,99000,87000,30000,57000,45000,3000,42000,11901598,11835598,20260915
00632R,元大台灣50反1   ,4211000,2054000,2157000,0,0,0,0,0,0,7845686,1000000,10000,990000,27671089,20815403,6855686,10002686,2157000,20260915
00680L,元大美債20正2   ,550000,7000,543000,0,0,0,0,0,0,5715615,200000,0,200000,7847000,2331385,5515615,6258615,543000,20260915
075266,金像電元大61購16,0,0,0,0,0,0,0,0,0,5365000,0,0,0,5496000,131000,5365000,5365000,0,20260915
6226,光鼎            ,15154100,10426125,4727975,0,0,0,0,0,0,58166,335166,277000,58166,0,0,0,4786141,4727975,20260915
069271,金寶永豐5B購01  ,0,0,0,0,0,0,0,0,0,4741000,0,0,0,4742000,1000,4741000,4741000,0,20260915
066292,嘉晶群益63購02  ,0,0,0,0,0,0,0,0,0,4282000,0,0,0,5037000,755000,4282000,4282000,0,20260915
062037,台達電永豐5C購01,0,0,0,0,0,0,0,0,0,3433000,0,0,0,3513000,80000,3433000,3433000,0,20260915
2887,台新新光金      ,25387823,25817645,-429822,0,0,0,4579000,999000,3580000,256762,594000,335397,258603,902100,903941,-1841,3406940,-429822,20260915
066033,嘉晶群益63購01  ,0,0,0,0,0,0,0,0,0,3387000,0,0,0,4331000,944000,3387000,3387000,0,20260915
2880,華南金          ,12498984,8970821,3528163,0,0,0,83800,711000,-627200,456390,149324,513,148811,469379,161800,307579,3357353,3528163,20260915
070663,富世達富邦62購01,0,0,0,0,0,0,0,0,0,3251000,0,0,0,3339000,88000,3251000,3251000,0,20260915
056945,亞光元大61購01  ,0,0,0,0,0,0,0,0,0,3181000,0,0,0,3297000,116000,3181000,3181000,0,20260915
00402A,主動安聯美國科技,340000,42000,298000,0,0,0,0,0,0,2880049,0,0,0,3365000,484951,2880049,3178049,298000,20260915
00988A,主動統一全球創新,2374112,7200000,-4825888,0,0,0,0,0,0,7892000,0,0,0,8532000,640000,7892000,3066112,-4825888,20260915
071606,佳必琪凱基5C購04,0,0,0,0,0,0,0,0,0,2993000,0,0,0,2994000,1000,2993000,2993000,0,20260915
063344,台達電中信62購01,0,0,0,0,0,0,0,0,0,2792000,0,0,0,3322000,530000,2792000,2792000,0,20260915
2609,陽明            ,14243161,11696147,2547014,0,0,0,105000,19000,86000,-171176,60000,28074,31926,68000,271102,-203102,2461838,2547014,20260915
060103,台塑化國票5A購01,0,0,0,0,0,0,0,0,0,2458000,0,0,0,2688000,230000,2458000,2458000,0,20260915
075694,臻鼎凱基61購07  ,0,0,0,0,0,0,0,0,0,2413000,0,0,0,2416000,3000,2413000,2413000,0,20260915
079496,嘉晶國泰63購01  ,0,0,0,0,0,0,0,0,0,2403000,0,0,0,2667000,264000,2403000,2403000,0,20260915
03749T,臺股指元大61售31,0,0,0,0,0,0,0,0,0,2400000,0,0,0,2499000,99000,2400000,2400000,0,20260915
00997A,主動群益美國增長,318020,205000,113020,0,0,0,0,0,0,2238064,0,0,0,2688213,450149,2238064,2351084,113020,20260915
00990A,主動元大AI新經濟,2285100,1389000,896100,0,0,0,0,0,0,1420847,7000,0,7000,3506521,2092674,1413847,2316947,896100,20260915
072841,聯電國泰61購05  ,0,0,0,0,0,0,0,0,0,2253000,0,0,0,2253000,0,2253000,2253000,0,20260915
063254,金像電元大61購03,0,0,0,0,0,0,0,0,0,2236000,0,0,0,2368000,132000,2236000,2236000,0,20260915
069187,金寶群益5B購01  ,0,0,0,0,0,0,0,0,0,2234000,0,0,0,2733000,499000,2234000,2234000,0,20260915
076120,瑞儀台新61購01  ,0,0,0,0,0,0,0,0,0,2200000,0,0,0,2200000,0,2200000,2200000,0,20260915
3045,台灣大          ,6896870,4500058,2396812,0,0,0,10000,56000,-46000,-191870,64242,257057,-192815,36000,35055,945,2158942,2396812,20260915
3042,晶技            ,3699603,1706968,1992635,0,0,0,55000,0,55000,65265,111000,136000,-25000,241370,151105,90265,2112900,1992635,20260915
083581,大立光群益63購06,0,0,0,0,0,0,0,0,0,2105000,0,0,0,2298000,193000,2105000,2105000,0,20260915
2354,鴻準            ,4180499,1995000,2185499,0,0,0,67000,2000,65000,-149790,65523,2000,63523,13667,226980,-213313,2100709,2185499,20260915
00688L,國泰20年美債正2 ,293000,86000,207000,0,0,0,0,0,0,1830366,0,0,0,2385018,554652,1830366,2037366,207000,20260915
071987,S&P反1元大63購01,0,0,0,0,0,0,0,0,0,2013000,0,0,0,2016000,3000,2013000,2013000,0,20260915
5876,上海商銀        ,4296161,3073982,1222179,0,0,0,651000,4000,647000,133561,214000,132000,82000,125043,73482,51561,2002740,1222179,20260915
062109,華通國票5B購02  ,0,0,0,0,0,0,0,0,0,1936000,0,0,0,1966000,30000,1936000,1936000,0,20260915
074766,睿生國票61購01  ,0,0,0,0,0,0,0,0,0,1894000,0,0,0,2194000,300000,1894000,1894000,0,20260915
079017,嘉晶統一6B購01  ,0,0,0,0,0,0,0,0,0,1893000,0,0,0,2342000,449000,1893000,1893000,0,20260915
078253,台玻國票67購01  ,0,0,0,0,0,0,0,0,0,1850000,0,0,0,1850000,0,1850000,1850000,0,20260915
065119,仁寶凱基5A購01  ,0,0,0,0,0,0,0,0,0,1821000,0,0,0,1841000,20000,1821000,1821000,0,20260915
00753L,中信中國50正2   ,1625000,344000,1281000,0,0,0,0,0,0,506372,0,0,0,3010382,2504010,506372,1787372,1281000,20260915
2049,上銀            ,3520552,1878582,1641970,0,0,0,33000,10000,23000,93935,13600,29000,-15400,174827,65492,109335,1758905,1641970,20260915
