證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,外資買賣超合計,資料日期
00403A,主動統一升級50  ,120472000,28312488,92159512,0,0,0,0,0,0,169486732,600000,0,600000,173776732,4890000,168886732,261646244,92159512,20260923
00981A,主動統一台股增長,112317065,22063900,90253165,0,0,0,0,0,0,48009815,1557083,525000,1032083,58044736,11067004,46977732,138262980,90253165,20260923
00405A,主動富邦台灣龍耀,27008003,3905100,23102903,0,0,0,0,0,0,63004195,45000,0,45000,67335776,4376581,62959195,86107098,23102903,20260923
00407A,主動凱基台灣    ,12796000,2640500,10155500,0,0,0,0,0,0,43348443,0,200000,-200000,45693743,2145300,43548443,53503943,10155500,20260923
00409A,主動復華全球50  ,29043000,61000,28982000,0,0,0,0,0,0,13225504,0,0,0,14346503,1120999,13225504,42207504,28982000,20260923
00631L,元大台灣50正2   ,15795500,15025620,769880,0,0,0,0,0,0,32997399,186214,0,186214,49964126,17152941,32811185,33767279,769880,20260923
00402A,主動安聯美國科技,15980000,53000,15927000,0,0,0,0,0,0,15614496,0,0,0,18124496,2510000,15614496,31541496,15927000,20260923
1101,台泥            ,67805848,37740627,30065221,0,0,0,10000,34000,-24000,740646,170000,248000,-78000,1397502,578856,818646,30781867,30065221,20260923
00991A,主動復華未來50  ,20414430,6287040,14127390,0,0,0,0,0,0,15625918,356000,0,356000,20085933,4816015,15269918,29753308,14127390,20260923
2408,南亞科          ,40033118,10836947,29196171,0,0,0,1205000,1385000,-180000,591331,1197076,886000,311076,396261,116006,280255,29607502,29196171,20260923
009828,中信台日韓PCB   ,54063278,4753000,49310278,0,0,0,0,0,0,-23793879,1700000,300000,1400000,5038092,30231971,-25193879,25516399,49310278,20260923
6770,力積電          ,50222315,26206883,24015432,0,0,0,1000,12000,-11000,1100160,729000,363000,366000,1013891,279731,734160,25104592,24015432,20260923
009820,元大納斯達克精選,115000,221000,-106000,0,0,0,0,0,0,21859680,0,0,0,22618680,759000,21859680,21753680,-106000,20260923
2610,華航            ,17506415,2923100,14583315,0,0,0,5626000,128000,5498000,271672,285000,79000,206000,89849,24177,65672,20352987,14583315,20260923
2618,長榮航          ,24678748,13471073,11207675,0,0,0,7744000,263000,7481000,630696,218945,5000,213945,422365,5614,416751,19319371,11207675,20260923
00988A,主動統一全球創新,5267075,363000,4904075,0,0,0,0,0,0,7077844,0,160000,-160000,8444844,1207000,7237844,11981919,4904075,20260923
00992A,主動群益科技創新,12151380,9383001,2768379,0,0,0,0,0,0,7355138,948000,672000,276000,10226461,3147323,7079138,10123517,2768379,20260923
00673R,期元大S&P原油反1,767000,338000,429000,0,0,0,0,0,0,9300712,0,0,0,18209755,8909043,9300712,9729712,429000,20260923
1314,中石化          ,35921767,26699910,9221857,0,0,0,0,0,0,-235366,703000,938366,-235366,0,0,0,8986491,9221857,20260923
00990A,主動元大AI新經濟,1320413,843104,477309,0,0,0,0,0,0,8466565,625000,0,625000,7909565,68000,7841565,8943874,477309,20260923
00997A,主動群益美國增長,3566000,311000,3255000,0,0,0,0,0,0,5098046,0,0,0,5651627,553581,5098046,8353046,3255000,20260923
8150,南茂            ,43815188,34560026,9255162,0,0,0,2000,5000,-3000,-985966,613000,1278084,-665084,626467,947349,-320882,8266196,9255162,20260923
00400A,主動國泰動能高息,3982000,2230030,1751970,0,0,0,0,0,0,6313214,56000,0,56000,9422054,3164840,6257214,8065184,1751970,20260923
2317,鴻海            ,17754160,11893406,5860754,0,0,0,1167000,199074,967926,945031,465999,54050,411949,715561,182479,533082,7773711,5860754,20260923
2344,華邦電          ,31070298,20946139,10124159,0,0,0,48000,3320000,-3272000,94013,599058,761121,-162063,348656,92580,256076,6946172,10124159,20260923
2104,國際中橡        ,9056889,2195000,6861889,0,0,0,0,0,0,56598,8308,0,8308,48290,0,48290,6918487,6861889,20260923
072825,晶技永豐5C購04  ,0,0,0,0,0,0,0,0,0,6879000,0,0,0,7532000,653000,6879000,6879000,0,20260923
009824,群益美國科技巨頭,2189000,77000,2112000,0,0,0,0,0,0,4707001,0,0,0,4707001,0,4707001,6819001,2112000,20260923
065423,台股增元大5A購01,0,5000,-5000,0,0,0,0,0,0,6697000,0,0,0,6737000,40000,6697000,6692000,-5000,20260923
2330,台積電          ,15266284,8142921,7123363,0,0,0,287522,1430330,-1142808,324168,179150,68000,111150,293785,80767,213018,6304723,7123363,20260923
3016,嘉晶            ,8140980,1900578,6240402,0,0,0,0,0,0,38051,95000,22000,73000,349364,384313,-34949,6278453,6240402,20260923
3037,欣興            ,14015374,8068655,5946719,0,0,0,623000,48000,575000,-892090,162572,224064,-61492,366458,1197056,-830598,5629629,5946719,20260923
1102,亞泥            ,7714715,2499097,5215618,0,0,0,168000,0,168000,121291,39000,0,39000,88291,6000,82291,5504909,5215618,20260923
00410A,主動永豐科技趨勢,1851000,115000,1736000,0,0,0,0,0,0,3684866,0,0,0,3755337,70471,3684866,5420866,1736000,20260923
00999A,主動野村臺灣高息,5664000,652000,5012000,0,0,0,0,0,0,382727,0,0,0,1604717,1221990,382727,5394727,5012000,20260923
063658,金像電永豐5B購02,0,0,0,0,0,0,0,0,0,5373000,0,0,0,5835000,462000,5373000,5373000,0,20260923
9904,寶成            ,8093740,3120000,4973740,0,0,0,169000,73000,96000,41136,0,4000,-4000,78136,33000,45136,5110876,4973740,20260923
057841,華城元大61購02  ,0,0,0,0,0,0,0,0,0,4943000,0,0,0,4943000,0,4943000,4943000,0,20260923
074397,富世達台新61購01,0,0,0,0,0,0,0,0,0,4883000,0,0,0,4883000,0,4883000,4883000,0,20260923
03733B,臺股指凱基65熊07,0,0,0,0,0,0,0,0,0,4731000,0,0,0,6649000,1918000,4731000,4731000,0,20260923
2412,中華電          ,5783348,2150054,3633294,0,0,0,974000,4000,970000,-12000,0,0,0,3000,15000,-12000,4591294,3633294,20260923
065125,可成凱基5B購01  ,0,0,0,0,0,0,0,0,0,4405000,0,0,0,4416000,11000,4405000,4405000,0,20260923
00881,國泰台灣科技龍頭,1713056,461500,1251556,0,0,0,0,0,0,3106705,63129,0,63129,3326576,283000,3043576,4358261,1251556,20260923
062593,東聯國票5B購01  ,0,0,0,0,0,0,0,0,0,4023000,0,0,0,4023000,0,4023000,4023000,0,20260923
069954,力積電台新5C購02,0,0,0,0,0,0,0,0,0,3805000,0,0,0,4559000,754000,3805000,3805000,0,20260923
8046,南電            ,9113205,5711747,3401458,0,0,0,158000,114000,44000,356647,284309,124600,159709,482113,285175,196938,3802105,3401458,20260923
3605,宏致            ,9789000,7390318,2398682,0,0,0,1569100,0,1569100,-179877,279000,524000,-245000,131779,66656,65123,3787905,2398682,20260923
00685L,群益臺灣加權正2 ,3768400,3590000,178400,0,0,0,0,0,0,3562100,3348000,153000,3195000,38476367,38109267,367100,3740500,178400,20260923
6505,台塑化          ,6392668,3176795,3215873,0,0,0,354000,45000,309000,104369,61000,15010,45990,110334,51955,58379,3629242,3215873,20260923
00982A,主動群益台灣強棒,5871189,1761000,4110189,0,0,0,0,0,0,-483619,0,122000,-122000,2889535,3251154,-361619,3626570,4110189,20260923
072525,智伸科凱基5C購02,0,0,0,0,0,0,0,0,0,3568000,0,0,0,3568000,0,3568000,3568000,0,20260923
00830,國泰費城半導體  ,2564793,420228,2144565,0,0,0,0,0,0,1403185,0,54000,-54000,2309185,852000,1457185,3547750,2144565,20260923
2337,旺宏            ,14201026,10471132,3729894,0,0,0,27000,764000,-737000,500499,192000,94000,98000,413997,11498,402499,3493393,3729894,20260923
074842,亞航凱基61購02  ,0,0,0,0,0,0,0,0,0,3452000,0,0,0,3462000,10000,3452000,3452000,0,20260923
2347,聯強            ,4074270,885909,3188361,0,0,0,230000,7000,223000,3524,3249,17000,-13751,49742,32467,17275,3414885,3188361,20260923
054954,元金2X群益5C購01,0,0,0,0,0,0,0,0,0,3367000,0,0,0,3368000,1000,3367000,3367000,0,20260923
066110,貿聯凱基61購04  ,0,0,0,0,0,0,0,0,0,3333000,0,0,0,3333000,0,3333000,3333000,0,20260923
065776,T50反1國票5B購01,0,0,0,0,0,0,0,0,0,3289000,0,0,0,3300000,11000,3289000,3289000,0,20260923
076404,群創國泰62購01  ,0,0,0,0,0,0,0,0,0,3270000,0,0,0,3692000,422000,3270000,3270000,0,20260923
080755,金像電元大63購10,0,0,0,0,0,0,0,0,0,3251000,0,0,0,3251000,0,3251000,3251000,0,20260923
2609,陽明            ,12054099,8843095,3211004,0,0,0,71000,0,71000,-37568,689000,509182,179818,51600,268986,-217386,3244436,3211004,20260923
1216,統一            ,6637223,3830617,2806606,0,0,0,22000,0,22000,382316,3000,2000,1000,394316,13000,381316,3210922,2806606,20260923
065226,可成國票5A購01  ,0,0,0,0,0,0,0,0,0,3209000,0,0,0,3209000,0,3209000,3209000,0,20260923
9945,潤泰新          ,5242697,2186036,3056661,0,0,0,0,0,0,147115,4338,0,4338,143356,579,142777,3203776,3056661,20260923
032944,漢唐統一64購01  ,0,0,0,0,0,0,0,0,0,3166000,0,0,0,3166000,0,3166000,3166000,0,20260923
063344,台達電中信62購01,0,0,0,0,0,0,0,0,0,3145000,0,0,0,3815000,670000,3145000,3145000,0,20260923
057278,龍德船凱基5C購01,0,0,0,0,0,0,0,0,0,3126000,0,0,0,3126000,0,3126000,3126000,0,20260923
00404A,主動聯博動能50  ,168000,241000,-73000,0,0,0,0,0,0,3153298,0,0,0,3378600,225302,3153298,3080298,-73000,20260923
080614,可成群益63購01  ,0,0,0,0,0,0,0,0,0,3029000,0,0,0,3043000,14000,3029000,3029000,0,20260923
3189,景碩            ,11245924,7483060,3762864,0,0,0,373000,556000,-183000,-588240,128937,129700,-763,119235,706712,-587477,2991624,3762864,20260923
0052,富邦科技        ,1339673,2278200,-938527,0,0,0,0,0,0,3906924,1344654,205000,1139654,4785270,2018000,2767270,2968397,-938527,20260923
6456,GIS-KY          ,6442179,3841650,2600529,0,0,0,0,0,0,247872,247000,4000,243000,429943,425071,4872,2848401,2600529,20260923
00994A,主動第一金台股優,561030,161000,400030,0,0,0,0,0,0,2261483,0,0,0,2551800,290317,2261483,2661513,400030,20260923
075803,金像電元大63購05,0,0,0,0,0,0,0,0,0,2641000,0,0,0,2716000,75000,2641000,2641000,0,20260923
082783,臺股指凱基63購40,0,0,0,0,0,0,0,0,0,2628000,0,0,0,4425000,1797000,2628000,2628000,0,20260923
065216,元油反國票5A購02,0,0,0,0,0,0,0,0,0,2574000,0,0,0,2952000,378000,2574000,2574000,0,20260923
009829,大華韓國KOSPI50 ,1125252,33229,1092023,0,0,0,0,0,0,1477913,410000,0,410000,10482000,9414087,1067913,2569936,1092023,20260923
082335,臺指反元大65購02,0,0,0,0,0,0,0,0,0,2494000,0,0,0,2495000,1000,2494000,2494000,0,20260923
068116,日月光中信5B購02,0,0,0,0,0,0,0,0,0,2476000,0,0,0,2504000,28000,2476000,2476000,0,20260923
082334,臺指反元大64購02,0,0,0,0,0,0,0,0,0,2475000,0,0,0,2495000,20000,2475000,2475000,0,20260923
077801,東聯台新61購02  ,0,0,0,0,0,0,0,0,0,2450000,0,0,0,2481000,31000,2450000,2450000,0,20260923
079948,光寶科群益62購02,0,0,0,0,0,0,0,0,0,2439000,0,0,0,2505000,66000,2439000,2439000,0,20260923
083841,事欣科凱基63購01,0,0,0,0,0,0,0,0,0,2409000,0,0,0,2851000,442000,2409000,2409000,0,20260923
2027,大成鋼          ,3576054,2270800,1305254,0,0,0,1120000,38000,1082000,14829,4000,4000,0,149784,134955,14829,2402083,1305254,20260923
086197,可成元大63購01  ,0,0,0,0,0,0,0,0,0,2400000,0,0,0,2400000,0,2400000,2400000,0,20260923
078758,群創國泰63購01  ,0,0,0,0,0,0,0,0,0,2391000,0,0,0,2426000,35000,2391000,2391000,0,20260923
3055,蔚華科          ,7885889,5465000,2420889,0,0,0,0,0,0,-81202,24057,105000,-80943,106341,106600,-259,2339687,2420889,20260923
00993A,主動安聯台灣    ,1269000,444000,825000,0,0,0,0,0,0,1498640,0,0,0,1849760,351120,1498640,2323640,825000,20260923
2515,中工            ,3658218,1371168,2287050,0,0,0,0,0,0,-4038,0,4038,-4038,0,0,0,2283012,2287050,20260923
1312,國喬            ,5981293,4140000,1841293,0,0,0,0,0,0,380636,130000,2000,128000,388978,136342,252636,2221929,1841293,20260923
4938,和碩            ,7638857,5317542,2321315,0,0,0,61000,361000,-300000,148784,55000,3716,51284,118531,21031,97500,2170099,2321315,20260923
060314,視陽國票5A購01  ,0,0,0,0,0,0,0,0,0,2164000,0,0,0,2409000,245000,2164000,2164000,0,20260923
064336,華擎凱基5B購01  ,0,0,0,0,0,0,0,0,0,2130000,0,0,0,2270000,140000,2130000,2130000,0,20260923
009802,富邦旗艦50      ,239059,71000,168059,0,0,0,0,0,0,1950435,0,0,0,2150948,200513,1950435,2118494,168059,20260923
00401A,主動摩根台灣鑫收,800000,151100,648900,0,0,0,0,0,0,1371443,0,0,0,1882000,510557,1371443,2020343,648900,20260923
062236,乙盛國票5B購01  ,0,0,0,0,0,0,0,0,0,1996000,0,0,0,1996000,0,1996000,1996000,0,20260923
079014,大毅統一6B購01  ,0,0,0,0,0,0,0,0,0,1996000,0,0,0,1996000,0,1996000,1996000,0,20260923
2404,漢唐            ,2406036,907960,1498076,0,0,0,611000,258000,353000,133424,52275,9800,42475,331987,241038,90949,1984500,1498076,20260923
085706,聯電元大64購01  ,0,0,0,0,0,0,0,0,0,1967000,0,0,0,2112000,145000,1967000,1967000,0,20260923
2886,兆豐金          ,13673399,9032140,4641259,0,0,0,393000,3669000,-3276000,551117,87000,77619,9381,546736,5000,541736,1916376,4641259,20260923
072617,南亞科台新5C購15,0,0,0,0,0,0,0,0,0,1910000,0,0,0,1941000,31000,1910000,1910000,0,20260923
3711,日月光投控      ,9823426,5814989,4008437,0,0,0,298000,2574360,-2276360,175742,234500,22000,212500,91729,128487,-36758,1907819,4008437,20260923
3576,聯合再生        ,3683090,1799277,1883813,0,0,0,100,0,100,-1000,0,1000,-1000,0,0,0,1882913,1883813,20260923
079968,祥碩群益62購01  ,0,0,0,0,0,0,0,0,0,1873000,0,0,0,1873000,0,1873000,1873000,0,20260923
086072,祥碩群益63購04  ,0,0,0,0,0,0,0,0,0,1873000,0,0,0,1873000,0,1873000,1873000,0,20260923
076889,祥碩群益61購01  ,0,0,0,0,0,0,0,0,0,1873000,0,0,0,1873000,0,1873000,1873000,0,20260923
2892,第一金          ,11796521,13203215,-1406694,0,0,0,3343000,109000,3234000,40058,14000,17996,-3996,45000,946,44054,1867364,-1406694,20260923
070572,友達群益5C購03  ,0,0,0,0,0,0,0,0,0,1817000,0,0,0,2417000,600000,1817000,1817000,0,20260923
00680L,元大美債20正2   ,252000,1000,251000,0,0,0,0,0,0,1557339,0,800000,-800000,3387339,1030000,2357339,1808339,251000,20260923
2646,星宇航空        ,2436833,643000,1793833,0,0,0,3000,0,3000,-2000,0,0,0,0,2000,-2000,1794833,1793833,20260923
2208,台船            ,2035294,245000,1790294,0,0,0,0,0,0,3000,3000,0,3000,0,0,0,1793294,1790294,20260923
2313,華通            ,4731435,3002333,1729102,0,0,0,5000,58000,-53000,114980,250000,132000,118000,64730,67750,-3020,1791082,1729102,20260923
064369,TPK國票5B購02   ,0,0,0,0,0,0,0,0,0,1764000,0,0,0,1891000,127000,1764000,1764000,0,20260923
00940,元大台灣價值高息,454010,1805000,-1350990,0,0,0,0,0,0,3112000,0,0,0,3832000,720000,3112000,1761010,-1350990,20260923
009827,玉山未來全球算力,13000,6000,7000,0,0,0,0,0,0,1714331,0,0,0,1890000,175669,1714331,1721331,7000,20260923
2351,順德            ,2622020,787336,1834684,0,0,0,0,0,0,-121167,4000,0,4000,22751,147918,-125167,1713517,1834684,20260923
085707,台達電元大63購15,0,0,0,0,0,0,0,0,0,1691000,0,0,0,1854000,163000,1691000,1691000,0,20260923
00987A,主動台新優勢成長,1086000,114000,972000,0,0,0,0,0,0,718033,0,0,0,1121852,403819,718033,1690033,972000,20260923
2103,台橡            ,2400280,736563,1663717,0,0,0,0,0,0,22953,0,3000,-3000,36035,10082,25953,1686670,1663717,20260923
00996A,主動兆豐台灣豐收,1186000,295998,890002,0,0,0,0,0,0,774178,0,0,0,1879919,1105741,774178,1664180,890002,20260923
00909,國泰數位支付服務,1847500,45345,1802155,0,0,0,0,0,0,-148308,0,0,0,1164692,1313000,-148308,1653847,1802155,20260923
083751,臺股指元大63購42,0,0,0,0,0,0,0,0,0,1633000,0,0,0,1654000,21000,1633000,1633000,0,20260923
3532,台勝科          ,4498417,3039590,1458827,0,0,0,71000,2000,69000,90479,217928,134567,83361,83005,75887,7118,1618306,1458827,20260923
064850,可成元大5A購03  ,0,0,0,0,0,0,0,0,0,1608000,0,0,0,1608000,0,1608000,1608000,0,20260923
073826,耀登國票61購01  ,0,0,0,0,0,0,0,0,0,1590000,0,0,0,1707000,117000,1590000,1590000,0,20260923
066611,世芯富邦61購03  ,0,0,0,0,0,0,0,0,0,1589000,0,0,0,1589000,0,1589000,1589000,0,20260923
064077,智邦富邦61購01  ,0,0,0,0,0,0,0,0,0,1584000,0,0,0,2074000,490000,1584000,1584000,0,20260923
1402,遠東新          ,3429477,2165440,1264037,0,0,0,154000,0,154000,165685,67000,0,67000,99000,315,98685,1583722,1264037,20260923
072665,松川凱基5C購03  ,0,0,0,0,0,0,0,0,0,1578000,0,0,0,1678000,100000,1578000,1578000,0,20260923
