證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,外資買賣超合計,資料日期
00403A,主動統一升級50  ,74875621,9150392,65725229,0,0,0,0,0,0,80400574,0,0,0,83183574,2783000,80400574,146125803,65725229,20260909
3481,群創            ,132925576,50950759,81974817,0,0,0,8000,51913,-43913,6415259,6551000,2735000,3816000,3454423,855164,2599259,88346163,81974817,20260909
2409,友達            ,222443824,157311110,65132714,0,0,0,0,7705,-7705,-1655932,1543000,2491955,-948955,5195469,5902446,-706977,63469077,65132714,20260909
00685L,群益臺灣加權正2 ,16249000,7369000,8880000,0,0,0,0,0,0,41337145,0,0,0,61496873,20159728,41337145,50217145,8880000,20260909
00981A,主動統一台股增長,39115981,19641143,19474838,0,0,0,0,0,0,23708831,1869000,996000,873000,39713347,16877516,22835831,43183669,19474838,20260909
00631L,元大台灣50正2   ,21992153,15124000,6868153,0,0,0,0,0,0,33351609,0,300000,-300000,41637067,7985458,33651609,40219762,6868153,20260909
00405A,主動富邦台灣龍耀,7041000,6576000,465000,0,0,0,0,0,0,28505012,0,1704000,-1704000,37987944,7778932,30209012,28970012,465000,20260909
2303,聯電            ,96043714,81400563,14643151,0,0,0,6200000,1155866,5044134,492660,5036000,4871000,165000,1704959,1377299,327660,20179945,14643151,20260909
1409,新纖            ,31249488,13273516,17975972,0,0,0,0,0,0,488571,19000,21000,-2000,685268,194697,490571,18464543,17975972,20260909
1101,台泥            ,25420616,8020936,17399680,0,0,0,100000,0,100000,106991,0,58000,-58000,257020,92029,164991,17606671,17399680,20260909
00407A,主動凱基台灣    ,1932000,2384000,-452000,0,0,0,0,0,0,16371791,0,0,0,20631474,4259683,16371791,15919791,-452000,20260909
00991A,主動復華未來50  ,15867163,11401000,4466163,0,0,0,0,0,0,11036573,1089000,850000,239000,16005358,5207785,10797573,15502736,4466163,20260909
6505,台塑化          ,22168893,8920921,13247972,0,0,0,33000,1053,31947,1592417,803442,366282,437160,1440586,285329,1155257,14872336,13247972,20260909
2002,中鋼            ,20405756,8354688,12051068,0,0,0,154000,59000,95000,2385260,3000000,128000,2872000,72655,559395,-486740,14531328,12051068,20260909
2382,廣達            ,21529412,8430668,13098744,0,0,0,27000,21455,5545,493559,722146,358000,364146,178713,49300,129413,13597848,13098744,20260909
2834,臺企銀          ,37672810,24338389,13334421,0,0,0,11000,54000,-43000,-2001,0,94000,-94000,98000,6001,91999,13289420,13334421,20260909
1326,台化            ,20221524,7940813,12280711,0,0,0,151000,0,151000,540219,382000,180591,201409,443661,104851,338810,12971930,12280711,20260909
1301,台塑            ,16573889,3734691,12839198,0,0,0,0,0,0,-55192,272000,174390,97610,404353,557155,-152802,12784006,12839198,20260909
6770,力積電          ,42133790,30758924,11374866,0,0,0,0,3000,-3000,73049,703000,972002,-269002,578931,236880,342051,11444915,11374866,20260909
00992A,主動群益科技創新,10244150,4163000,6081150,0,0,0,0,0,0,4551267,808000,56000,752000,9747056,5947789,3799267,10632417,6081150,20260909
8150,南茂            ,20789104,10387681,10401423,0,0,0,1000,5000,-4000,-52924,279000,474000,-195000,266346,124270,142076,10344499,10401423,20260909
00940,元大台灣價值高息,1269000,153000,1116000,0,0,0,0,0,0,8604045,0,0,0,9670995,1066950,8604045,9720045,1116000,20260909
1314,中石化          ,11843140,2567756,9275384,0,0,0,0,0,0,170069,213069,43000,170069,0,0,0,9445453,9275384,20260909
3711,日月光投控      ,16457898,7650994,8806904,0,0,0,495000,105930,389070,246837,303253,142500,160753,318771,232687,86084,9442811,8806904,20260909
9105,泰金寶-DR       ,10203000,1252019,8950981,0,0,0,0,0,0,131891,0,0,0,140891,9000,131891,9082872,8950981,20260909
073129,玉晶光元大5C購05,0,0,0,0,0,0,0,0,0,8739000,0,0,0,8739000,0,8739000,8739000,0,20260909
00988A,主動統一全球創新,1891135,2324900,-433765,0,0,0,0,0,0,9134000,0,0,0,10185000,1051000,9134000,8700235,-433765,20260909
00878,國泰永續高股息  ,2634704,1547122,1087582,0,0,0,0,0,0,6678147,120000,1123000,-1003000,10216914,2535767,7681147,7765729,1087582,20260909
2609,陽明            ,22470054,14927542,7542512,0,0,0,17000,22340,-5340,-131034,293046,340405,-47359,376880,460555,-83675,7406138,7542512,20260909
2353,宏碁            ,9672285,2273954,7398331,0,0,0,136000,38538,97462,-205597,2000,257000,-255000,206023,156620,49403,7290196,7398331,20260909
065423,台股增元大5A購01,0,50000,-50000,0,0,0,0,0,0,6998000,0,0,0,8030000,1032000,6998000,6948000,-50000,20260909
00982A,主動群益台灣強棒,3278090,1466000,1812090,0,0,0,0,0,0,4769255,30000,0,30000,5698521,959266,4739255,6581345,1812090,20260909
2356,英業達          ,10827343,4176001,6651342,0,0,0,5000,328691,-323691,115598,39000,55054,-16054,376322,244670,131652,6443249,6651342,20260909
1312,國喬            ,8479103,3832000,4647103,0,0,0,0,0,0,1178558,618000,31000,587000,659581,68023,591558,5825661,4647103,20260909
2892,第一金          ,22521873,18455919,4065954,0,0,0,1840095,228020,1612075,32205,0,111000,-111000,205722,62517,143205,5710234,4065954,20260909
2889,國票金          ,9001768,3252901,5748867,0,0,0,0,0,0,-45999,3001,79000,-75999,30000,0,30000,5702868,5748867,20260909
1718,中纖            ,10264006,4622000,5642006,0,0,0,0,43000,-43000,70902,48391,66000,-17609,88631,120,88511,5669908,5642006,20260909
00990A,主動元大AI新經濟,1074600,1397000,-322400,0,0,0,0,0,0,5824339,47000,0,47000,5798000,20661,5777339,5501939,-322400,20260909
2412,中華電          ,6873463,2302426,4571037,0,0,0,906000,7553,898447,-86000,0,60000,-60000,30000,56000,-26000,5383484,4571037,20260909
00891,中信關鍵半導體  ,2677114,1422000,1255114,0,0,0,0,0,0,4058523,0,0,0,5565285,1506762,4058523,5313637,1255114,20260909
00400A,主動國泰動能高息,3908000,1883923,2024077,0,0,0,0,0,0,3107749,0,0,0,9576300,6468551,3107749,5131826,2024077,20260909
3231,緯創            ,41678917,35290918,6387999,0,0,0,331000,2196993,-1865993,368701,1202000,1304000,-102000,838246,367545,470701,4890707,6387999,20260909
6239,力成            ,7847424,2837239,5010185,0,0,0,1000,25000,-24000,-139078,298100,164000,134100,164245,437423,-273178,4847107,5010185,20260909
3037,欣興            ,10931210,7140418,3790792,0,0,0,1030000,159211,870789,-122990,88496,182000,-93504,403635,433121,-29486,4538591,3790792,20260909
064741,台玻凱基5A購01  ,0,0,0,0,0,0,0,0,0,4506000,0,0,0,4506000,0,4506000,4506000,0,20260909
2104,國際中橡        ,6011402,1576873,4434529,0,0,0,0,0,0,3929,0,17000,-17000,20929,0,20929,4438458,4434529,20260909
2049,上銀            ,5656201,1527097,4129104,0,0,0,101000,0,101000,136014,70100,40000,30100,272424,166510,105914,4366118,4129104,20260909
072516,瑞昱凱基5C購03  ,0,0,0,0,0,0,0,0,0,4359000,0,0,0,4585000,226000,4359000,4359000,0,20260909
1102,亞泥            ,8894996,4600009,4294987,0,0,0,107000,11551,95449,-311457,1000,279528,-278528,8400,41329,-32929,4078979,4294987,20260909
065115,台玻凱基5A購02  ,0,0,0,0,0,0,0,0,0,4037000,0,0,0,4042000,5000,4037000,4037000,0,20260909
3045,台灣大          ,4227008,982500,3244508,0,0,0,1299000,393053,905947,-177941,137,138000,-137863,4000,44078,-40078,3972514,3244508,20260909
067601,嘉基國票5C購01  ,0,0,0,0,0,0,0,0,0,3961000,0,0,0,4062000,101000,3961000,3961000,0,20260909
3006,晶豪科          ,6556781,3044610,3512171,0,0,0,11000,20000,-9000,401116,302620,95000,207620,273021,79525,193496,3904287,3512171,20260909
055384,台塑富邦61購02  ,0,0,0,0,0,0,0,0,0,3897000,0,0,0,4385000,488000,3897000,3897000,0,20260909
2377,微星            ,6984627,2374460,4610167,0,0,0,16000,909000,-893000,149738,37000,33000,4000,165612,19874,145738,3866905,4610167,20260909
1709,和益            ,5988098,2183248,3804850,0,0,0,0,0,0,371,7000,6000,1000,448,1077,-629,3805221,3804850,20260909
00881,國泰台灣科技龍頭,1120010,1010680,109330,0,0,0,0,0,0,3569397,0,0,0,4096474,527077,3569397,3678727,109330,20260909
2426,鼎元            ,19164956,15431806,3733150,0,0,0,0,0,0,-59457,3000,2000,1000,159681,220138,-60457,3673693,3733150,20260909
00680L,元大美債20正2   ,1018000,1000,1017000,0,0,0,0,0,0,2496720,245000,0,245000,2268500,16780,2251720,3513720,1017000,20260909
070754,微星元大5C購03  ,0,0,0,0,0,0,0,0,0,3336000,0,0,0,3336000,0,3336000,3336000,0,20260909
059018,陽明永豐5C購01  ,0,0,0,0,0,0,0,0,0,3289000,0,0,0,3316000,27000,3289000,3289000,0,20260909
6116,彩晶            ,30275610,27169545,3106065,0,0,0,0,0,0,78343,122000,184000,-62000,464603,324260,140343,3184408,3106065,20260909
00900,富邦特選高股息30,675000,11000,664000,0,0,0,0,0,0,2494879,0,0,0,2980648,485769,2494879,3158879,664000,20260909
2618,長榮航          ,9383700,6024390,3359310,0,0,0,35000,263029,-228029,4694,10000,118000,-108000,170400,57706,112694,3135975,3359310,20260909
067430,嘉基永豐5C購01  ,0,0,0,0,0,0,0,0,0,3104000,0,0,0,3604000,500000,3104000,3104000,0,20260909
081526,聯電凱基64購02  ,0,0,0,0,0,0,0,0,0,2990000,0,0,0,2993000,3000,2990000,2990000,0,20260909
2603,長榮            ,6099034,3685821,2413213,0,0,0,266000,17605,248395,302078,294000,119000,175000,166229,39151,127078,2963686,2413213,20260909
5880,合庫金          ,11608328,8908496,2699832,0,0,0,19000,55846,-36846,229920,196000,119007,76993,154000,1073,152927,2892906,2699832,20260909
069179,力成凱基63購01  ,0,0,0,0,0,0,0,0,0,2825000,0,0,0,2940000,115000,2825000,2825000,0,20260909
08438U,華通國票5A售02  ,0,0,0,0,0,0,0,0,0,2800000,0,0,0,2800000,0,2800000,2800000,0,20260909
2542,興富發          ,3435735,2059000,1376735,0,0,0,1469000,127000,1342000,68807,1000,27442,-26442,95633,384,95249,2787542,1376735,20260909
072937,富世達元大5C購06,0,0,0,0,0,0,0,0,0,2771000,0,0,0,2794000,23000,2771000,2771000,0,20260909
083645,大立光統一68購03,0,0,0,0,0,0,0,0,0,2760000,0,0,0,3211000,451000,2760000,2760000,0,20260909
070603,富世達永豐5C購01,0,0,0,0,0,0,0,0,0,2736000,0,0,0,3159000,423000,2736000,2736000,0,20260909
069058,英業達群益5B購03,0,0,0,0,0,0,0,0,0,2722000,0,0,0,2833000,111000,2722000,2722000,0,20260909
1304,台聚            ,3233336,620000,2613336,0,0,0,0,0,0,-21213,2000,27000,-25000,7184,3397,3787,2592123,2613336,20260909
2317,鴻海            ,13613924,10480588,3133336,0,0,0,74236,108442,-34206,-514232,181500,562000,-380500,108183,241915,-133732,2584898,3133336,20260909
1802,台玻            ,5434189,3022537,2411652,0,0,0,49000,0,49000,123831,316000,90000,226000,50000,152169,-102169,2584483,2411652,20260909
