證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,外資買賣超合計,資料日期
00403A,主動統一升級50  ,181563600,33060931,148502669,0,0,0,0,0,0,150972580,3165000,240000,2925000,154250580,6203000,148047580,299475249,148502669,20260921
2409,友達            ,306943735,71050269,235893466,0,0,0,0,27329,-27329,22412688,13465997,2107000,11358997,11945746,892055,11053691,258278825,235893466,20260921
00685L,群益臺灣加權正2 ,7841100,5208624,2632476,0,0,0,0,0,0,134263471,3403000,0,3403000,141490932,10630461,130860471,136895947,2632476,20260921
00631L,元大台灣50正2   ,28136100,11116370,17019730,0,0,0,0,0,0,106797833,45000,120000,-75000,111171020,4298187,106872833,123817563,17019730,20260921
00981A,主動統一台股增長,73385947,19200750,54185197,0,0,0,0,0,0,13984143,2144987,201000,1943987,24974615,12934459,12040156,68169340,54185197,20260921
009816,凱基台灣TOP50   ,17741933,9980231,7761702,0,0,0,0,0,0,33437813,239000,3679000,-3440000,43879915,7002102,36877813,41199515,7761702,20260921
00405A,主動富邦台灣龍耀,10310582,10132651,177931,0,0,0,0,0,0,39781030,50000,0,50000,46987926,7256896,39731030,39958961,177931,20260921
3481,群創            ,87419513,54274808,33144705,0,0,0,10000,4908002,-4898002,6988283,6441000,2271000,4170000,3410400,592117,2818283,35234986,33144705,20260921
00407A,主動凱基台灣    ,5866988,2449000,3417988,0,0,0,0,0,0,30578563,0,400000,-400000,32464992,1486429,30978563,33996551,3417988,20260921
2883,凱基金          ,38764216,14275644,24488572,0,0,0,656000,76234,579766,-315856,56000,720000,-664000,352922,4778,348144,24752482,24488572,20260921
009820,元大納斯達克精選,3733000,131000,3602000,0,0,0,0,0,0,13800899,0,0,0,14825347,1024448,13800899,17402899,3602000,20260921
1314,中石化          ,36441839,20866628,15575211,0,0,0,0,0,0,1484565,1586565,102000,1484565,0,0,0,17059776,15575211,20260921
6116,彩晶            ,22975379,7879219,15096160,0,0,0,0,0,0,451752,218000,126000,92000,451752,92000,359752,15547912,15096160,20260921
8150,南茂            ,21661000,7397302,14263698,0,0,0,0,0,0,996035,610999,152615,458384,1136180,598529,537651,15259733,14263698,20260921
00400A,主動國泰動能高息,11344000,3480250,7863750,0,0,0,0,0,0,6891678,146000,0,146000,10155337,3409659,6745678,14755428,7863750,20260921
00991A,主動復華未來50  ,22041000,14428693,7612307,0,0,0,0,0,0,6048249,0,200000,-200000,11873918,5625669,6248249,13660556,7612307,20260921
00671R,富邦NASDAQ反1   ,0,0,0,0,0,0,0,0,0,11489100,0,0,0,11490000,900,11489100,11489100,0,20260921
00919,群益台灣精選高息,23676648,4465378,19211270,0,0,0,0,0,0,-8440398,10000,10000,0,12638170,21078568,-8440398,10770872,19211270,20260921
00997A,主動群益美國增長,5590000,319000,5271000,0,0,0,0,0,0,5430416,0,0,0,6729549,1299133,5430416,10701416,5271000,20260921
065423,台股增元大5A購01,0,80000,-80000,0,0,0,0,0,0,9787000,0,0,0,10425000,638000,9787000,9707000,-80000,20260921
00409A,主動復華全球50  ,8629000,252000,8377000,0,0,0,0,0,0,1152529,0,0,0,4277002,3124473,1152529,9529529,8377000,20260921
009824,群益美國科技巨頭,86100,129000,-42900,0,0,0,0,0,0,9423055,0,0,0,11649530,2226475,9423055,9380155,-42900,20260921
072090,泰金寶國票5C購01,0,0,0,0,0,0,0,0,0,8764000,0,0,0,9287000,523000,8764000,8764000,0,20260921
2371,大同            ,9982762,1852000,8130762,0,0,0,0,861,-861,299722,279000,2348,276652,117070,94000,23070,8429623,8130762,20260921
00940,元大台灣價值高息,2292039,1284000,1008039,0,0,0,0,0,0,7180996,90000,0,90000,8599926,1508930,7090996,8189035,1008039,20260921
00881,國泰台灣科技龍頭,6427887,1379500,5048387,0,0,0,0,0,0,3043723,431395,0,431395,5453328,2841000,2612328,8092110,5048387,20260921
00404A,主動聯博動能50  ,3274100,187000,3087100,0,0,0,0,0,0,4820051,0,0,0,8800026,3979975,4820051,7907151,3087100,20260921
2449,京元電子        ,16609887,14577137,2032750,0,0,0,4581549,23207,4558342,1016586,1701966,769373,932593,340822,256829,83993,7607678,2032750,20260921
009829,大華韓國KOSPI50 ,3010000,193100,2816900,0,0,0,0,0,0,4548988,0,0,0,8378027,3829039,4548988,7365888,2816900,20260921
2855,統一證          ,8720558,1418000,7302558,0,0,0,16000,11000,5000,0,0,0,0,0,0,0,7307558,7302558,20260921
2891,中信金          ,17122186,11281702,5840484,0,0,0,1268000,224968,1043032,245200,314000,14617,299383,21762,75945,-54183,7128716,5840484,20260921
