證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,外資買賣超合計,資料日期
00632R,元大台灣50反1   ,3804000,787019,3016981,0,0,0,0,0,0,39408343,400000,0,400000,42889343,3881000,39008343,42425324,3016981,20260910
00403A,主動統一升級50  ,21938685,22119537,-180852,0,0,0,0,0,0,42512305,0,1018000,-1018000,45313766,1783461,43530305,42331453,-180852,20260910
6770,力積電          ,58790090,30789234,28000856,0,0,0,0,21000,-21000,2199738,1307500,747000,560500,2186412,547174,1639238,30179594,28000856,20260910
2409,友達            ,163440348,144905345,18535003,0,0,0,0,40451,-40451,5147393,3047996,2649000,398996,8427315,3678918,4748397,23641945,18535003,20260910
2892,第一金          ,18604946,7963207,10641739,0,0,0,5941000,6624,5934376,87881,336000,392000,-56000,272000,128119,143881,16663996,10641739,20260910
2883,凱基金          ,32732728,18954147,13778581,0,0,0,608000,6373,601627,-236164,10000,316135,-306135,357051,287080,69971,14144044,13778581,20260910
1312,國喬            ,19497336,9464000,10033336,0,0,0,0,0,0,12325,459000,365000,94000,390234,471909,-81675,10045661,10033336,20260910
058158,長興元大5B購03  ,0,0,0,0,0,0,0,0,0,9302000,0,0,0,9332000,30000,9302000,9302000,0,20260910
1303,南亞            ,24821504,17465908,7355596,0,0,0,2168000,243000,1925000,-29639,519000,564000,-45000,348347,332986,15361,9250957,7355596,20260910
00991A,主動復華未來50  ,9089800,7686200,1403600,0,0,0,0,0,0,7517059,1684000,300000,1384000,9768468,3635409,6133059,8920659,1403600,20260910
00988A,主動統一全球創新,2930762,3157030,-226268,0,0,0,0,0,0,9010000,0,0,0,9510000,500000,9010000,8783732,-226268,20260910
00407A,主動凱基台灣    ,1186100,3462000,-2275900,0,0,0,0,0,0,10744100,0,0,0,13328000,2583900,10744100,8468200,-2275900,20260910
2812,台中銀          ,11781985,3074388,8707597,0,0,0,3000,264846,-261846,-174683,0,72000,-72000,59000,161683,-102683,8271068,8707597,20260910
2884,玉山金          ,38867019,37492448,1374571,0,0,0,6121000,10909,6110091,-165819,407000,668831,-261831,328989,232977,96012,7318843,1374571,20260910
1101,台泥            ,13428000,6628000,6800000,0,0,0,229000,3000,226000,68486,100,67000,-66900,254644,119258,135386,7094486,6800000,20260910
2886,兆豐金          ,16018928,9283902,6735026,0,0,0,358000,207264,150736,3145,272000,372855,-100855,235000,131000,104000,6888907,6735026,20260910
2834,臺企銀          ,35312296,28591266,6721030,0,0,0,0,4000,-4000,-542280,0,170280,-170280,10000,382000,-372000,6174750,6721030,20260910
6257,矽格            ,9959438,4115093,5844345,0,0,0,0,4000,-4000,288017,226013,22000,204013,230553,146549,84004,6128362,5844345,20260910
00990A,主動元大AI新經濟,1075000,2771000,-1696000,0,0,0,0,0,0,7232968,41000,0,41000,7607000,415032,7191968,5536968,-1696000,20260910
00405A,主動富邦台灣龍耀,3563160,4189000,-625840,0,0,0,0,0,0,6162648,1000,0,1000,13181426,7019778,6161648,5536808,-625840,20260910
2481,強茂            ,18906559,13812397,5094162,0,0,0,440000,70000,370000,-189061,173000,354839,-181839,120523,127745,-7222,5275101,5094162,20260910
061821,嘉澤凱基5B購01  ,0,0,0,0,0,0,0,0,0,5132000,0,0,0,5410000,278000,5132000,5132000,0,20260910
00940,元大台灣價值高息,610241,492000,118241,0,0,0,0,0,0,4654914,0,0,0,7411000,2756086,4654914,4773155,118241,20260910
3016,嘉晶            ,6527974,2020500,4507474,0,0,0,0,0,0,222489,0,3000,-3000,253917,28428,225489,4729963,4507474,20260910
074397,富世達台新61購01,0,0,0,0,0,0,0,0,0,4481000,0,0,0,4526000,45000,4481000,4481000,0,20260910
063254,金像電元大61購03,0,0,0,0,0,0,0,0,0,4403000,0,0,0,5198000,795000,4403000,4403000,0,20260910
3711,日月光投控      ,10179768,5409351,4770417,0,0,0,144000,164481,-20481,-411759,167075,480880,-313805,358046,456000,-97954,4338177,4770417,20260910
00409A,主動復華全球50  ,4196000,57000,4139000,0,0,0,0,0,0,-111189,0,0,0,7435999,7547188,-111189,4027811,4139000,20260910
3702,大聯大          ,7665032,3813000,3852032,0,0,0,31000,80000,-49000,138039,235000,157000,78000,251385,191346,60039,3941071,3852032,20260910
2412,中華電          ,5165010,1249968,3915042,0,0,0,111000,11675,99325,-79000,0,56000,-56000,0,23000,-23000,3935367,3915042,20260910
2880,華南金          ,11308095,7421929,3886166,0,0,0,93000,5000,88000,-276077,6001,107723,-101722,133576,307931,-174355,3698089,3886166,20260910
00922,國泰台灣領袖50  ,2154998,781000,1373998,0,0,0,0,0,0,2243445,0,0,0,2489000,245555,2243445,3617443,1373998,20260910
066073,聯發科國票61購01,0,0,0,0,0,0,0,0,0,3567000,0,0,0,3683000,116000,3567000,3567000,0,20260910
009820,元大納斯達克精選,10000,552000,-542000,0,0,0,0,0,0,4046044,0,0,0,5398240,1352196,4046044,3504044,-542000,20260910
00878,國泰永續高股息  ,1573942,2058150,-484208,0,0,0,0,0,0,3964832,0,219000,-219000,8941666,4757834,4183832,3480624,-484208,20260910
2354,鴻準            ,4474565,1091650,3382915,0,0,0,0,4000,-4000,13581,0,15000,-15000,61581,33000,28581,3392496,3382915,20260910
060348,華通元大63購03  ,0,0,0,0,0,0,0,0,0,3097000,0,0,0,4099000,1002000,3097000,3097000,0,20260910
071656,台積電元大73購05,0,0,0,0,0,0,0,0,0,3031000,0,0,0,3039000,8000,3031000,3031000,0,20260910
070408,台郡凱基5C購02  ,0,0,0,0,0,0,0,0,0,2899000,0,0,0,2899000,0,2899000,2899000,0,20260910
5880,合庫金          ,8743957,5929656,2814301,0,0,0,125000,6000,119000,-98665,335000,136633,198367,8000,305032,-297032,2834636,2814301,20260910
5876,上海商銀        ,6404843,3767303,2637540,0,0,0,292000,2000,290000,-97000,10000,42000,-32000,32000,97000,-65000,2830540,2637540,20260910
063658,金像電永豐5B購02,0,0,0,0,0,0,0,0,0,2762000,0,0,0,3212000,450000,2762000,2762000,0,20260910
00891,中信關鍵半導體  ,1766100,1878000,-111900,0,0,0,0,0,0,2861660,0,0,0,3693822,832162,2861660,2749760,-111900,20260910
083649,玉晶光統一71購01,0,0,0,0,0,0,0,0,0,2634000,0,0,0,2737000,103000,2634000,2634000,0,20260910
1102,亞泥            ,4621985,2150000,2471985,0,0,0,228000,2418,225582,-159710,1000,134000,-133000,6021,32731,-26710,2537857,2471985,20260910
00997A,主動群益美國增長,581100,669000,-87900,0,0,0,0,0,0,2613321,0,0,0,3728500,1115179,2613321,2525421,-87900,20260910
063686,辛耘國票5B購01  ,0,0,0,0,0,0,0,0,0,2491000,0,0,0,2491000,0,2491000,2491000,0,20260910
079014,大毅統一6B購01  ,0,0,0,0,0,0,0,0,0,2395000,0,0,0,2395000,0,2395000,2395000,0,20260910
056096,富世達統一61購04,0,0,0,0,0,0,0,0,0,2387000,0,0,0,2387000,0,2387000,2387000,0,20260910
00953B,群益優選非投等債,12000,3000,9000,0,0,0,800000,0,800000,1510117,0,0,0,2830500,1320383,1510117,2319117,9000,20260910
067409,聯電中信5B購02  ,0,0,0,0,0,0,0,0,0,2316000,0,0,0,2797000,481000,2316000,2316000,0,20260910
08588U,萬海凱基61售01  ,0,0,0,0,0,0,0,0,0,2259000,0,0,0,2259000,0,2259000,2259000,0,20260910
2313,華通            ,6290495,3826020,2464475,0,0,0,42000,118000,-76000,-136174,386000,458000,-72000,95242,159416,-64174,2252301,2464475,20260910
3189,景碩            ,4838535,2989060,1849475,0,0,0,346000,2000,344000,9296,45000,29549,15451,115470,121625,-6155,2202771,1849475,20260910
