證券代號,證券名稱,融資今日餘額,融資前日餘額,融資增減,融券今日餘額,融券前日餘額,融券增減,券資比
2493,揚博,8879,9034,-155,19,16,3,0.21
2495,普安,7891,7874,17,8,8,0,0.1
2496,卓越,34,34,0,0,0,0,0.0
2497,怡利電,1706,1701,5,1,1,0,0.06
2498,宏達電,28938,28949,-11,228,242,-14,0.79
2501,國建,4707,4702,5,7,7,0,0.15
2504,國產,5985,5990,-5,0,0,0,0.0
2505,國揚,3320,3313,7,0,0,0,0.0
2506,太設,1835,1844,-9,0,0,0,0.0
2509,全坤建,629,634,-5,1,1,0,0.16
2511,太子,2431,2425,6,1,1,0,0.04
2514,龍邦,18181,18179,2,0,0,0,0.0
2515,中工,29302,29393,-91,44,44,0,0.15
2516,新建,0,0,0,0,0,0,0.0
2520,冠德,1888,1904,-16,0,0,0,0.0
2524,京城,3193,3189,4,0,0,0,0.0
2527,宏璟,5692,5646,46,0,0,0,0.0
2528,皇普,5549,5555,-6,0,0,0,0.0
2530,華建,6865,6799,66,0,0,0,0.0
2534,宏盛,7479,7491,-12,0,0,0,0.0
2535,達欣工,241,245,-4,3,3,0,1.24
2536,宏普,2832,2847,-15,0,0,0,0.0
2537,聯上發,3653,3634,19,5,5,0,0.14
2538,基泰,2801,2797,4,2,2,0,0.07
2539,櫻花建,1294,1298,-4,23,24,-1,1.78
2540,愛山林,2721,2729,-8,15,15,0,0.55
2542,興富發,3870,3583,287,9,10,-1,0.23
2543,皇昌,8363,8378,-15,9,9,0,0.11
2545,皇翔,2676,2695,-19,1,1,0,0.04
2546,根基,176,175,1,0,0,0,0.0
2547,日勝生,9493,9493,0,0,0,0,0.0
2548,華固,1761,1753,8,9,9,0,0.51
2597,潤弘,162,156,6,0,0,0,0.0
2601,益航,243,249,-6,0,0,0,0.0
2603,長榮,10903,10997,-94,318,312,6,2.92
2605,新興,14271,14449,-178,253,91,162,1.77
2606,裕民,4002,4093,-91,229,249,-20,5.72
2607,榮運,680,679,1,2,2,0,0.29
2608,嘉里大榮,1133,1143,-10,1,1,0,0.09
2609,陽明,34140,33830,310,2039,2013,26,5.97
2610,華航,40438,40478,-40,270,276,-6,0.67
2611,志信,2829,2810,19,1,1,0,0.04
2612,中航,1778,1772,6,18,18,0,1.01
2613,中櫃,2609,2672,-63,0,5,-5,0.0
2614,東森,5582,5542,40,0,0,0,0.0
2615,萬海,14493,13559,934,1577,1273,304,10.88
2616,山隆,422,422,0,0,0,0,0.0
2617,台航,2757,2607,150,5,6,-1,0.18
2618,長榮航,21771,21674,97,938,967,-29,4.31
2630,亞航,5490,5552,-62,35,37,-2,0.64
2633,台灣高鐵,1641,1641,0,36,37,-1,2.19
2634,漢翔,23693,23710,-17,351,407,-56,1.48
2636,台驊控股,776,742,34,1,1,0,0.13
2637,慧洋-KY,3088,3377,-289,199,189,10,6.44
2642,宅配通,593,593,0,5,5,0,0.84
2645,長榮航太,4692,4667,25,3,3,0,0.06
2646,星宇航空,3978,3962,16,22,22,0,0.55
2701,萬企,367,367,0,0,0,0,0.0
2702,華園,476,472,4,0,0,0,0.0
2704,國賓,94,94,0,0,0,0,0.0
2705,六福,509,509,0,0,0,0,0.0
2706,第一店,602,621,-19,0,0,0,0.0
2707,晶華,133,142,-9,0,0,0,0.0
2712,遠雄來,6,6,0,0,0,0,0.0
2722,夏都,289,291,-2,0,0,0,0.0
2723,美食-KY,1523,1530,-7,17,17,0,1.12
2727,王品,275,276,-1,3,3,0,1.09
2731,雄獅,813,811,2,6,6,0,0.74
2739,寒舍,900,893,7,0,0,0,0.0
2748,雲品,457,459,-2,0,0,0,0.0
2753,八方雲集,451,469,-18,2,2,0,0.44
2762,世界健身-KY,222,223,-1,0,0,0,0.0
2801,彰銀,9523,9296,227,166,147,19,1.74
2812,台中銀,4403,4402,1,2,4,-2,0.05
2816,旺旺保,1093,1112,-19,5,5,0,0.46
2820,華票,365,348,17,1,1,0,0.27
2832,台產,667,668,-1,0,0,0,0.0
2834,臺企銀,23611,24449,-838,75,77,-2,0.32
2836,高雄銀,6075,5865,210,2,3,-1,0.03
2838,聯邦銀,1784,1789,-5,7,6,1,0.39
2845,遠東銀,2857,2852,5,22,34,-12,0.77
2849,安泰銀,354,349,5,0,0,0,0.0
2850,新產,226,227,-1,0,0,0,0.0
2851,中再保,3655,3285,370,14,14,0,0.38
2852,第一保,1627,1620,7,0,0,0,0.0
2855,統一證,4301,4554,-253,145,145,0,3.37
2880,華南金,978,759,219,118,118,0,12.07
2881,富邦金,5927,6245,-318,352,346,6,5.94
2882,國泰金,5356,5333,23,1504,1523,-19,28.08
2883,凱基金,10141,10695,-554,275,250,25,2.71
2884,玉山金,6815,6966,-151,225,202,23,3.3
2885,元大金,1678,1685,-7,8,9,-1,0.48
2886,兆豐金,1573,1531,42,37,39,-2,2.35
2887,台新新光金,42441,42508,-67,372,372,0,0.88
2889,國票金,3005,2918,87,50,50,0,1.66
2890,永豐金,1733,1743,-10,75,75,0,4.33
2891,中信金,3489,3628,-139,36,34,2,1.03
2892,第一金,9375,9378,-3,107,96,11,1.14
2897,王道銀行,1402,1337,65,2,2,0,0.14
2901,欣欣,501,475,26,0,0,0,0.0
2903,遠百,1538,1535,3,0,0,0,0.0
2904,匯僑,9,9,0,0,0,0,0.0
2905,三商,6785,6843,-58,18,18,0,0.27
2906,高林,588,568,20,0,0,0,0.0
2908,特力,16002,15885,117,0,0,0,0.0
2910,統領,44,44,0,0,0,0,0.0
2911,麗嬰房,234,224,10,0,0,0,0.0
2912,統一超,522,632,-110,0,0,0,0.0
2913,農林,7715,7706,9,1,1,0,0.01
2915,潤泰全,9874,9947,-73,14,15,-1,0.14
2929,淘帝-KY,2072,2062,10,0,0,0,0.0
2939,永邑-KY,599,599,0,1,1,0,0.17
3002,歐格,1855,1847,8,23,23,0,1.24
3003,健和興,2686,2578,108,8,9,-1,0.3
3004,豐達科,1866,1911,-45,2,2,0,0.11
3005,神基,7679,7647,32,48,48,0,0.63
3006,晶豪科,17914,17751,163,701,695,6,3.91
3008,大立光,4275,4374,-99,63,66,-3,1.47
3010,華立,1165,1170,-5,15,3,12,1.29
3011,今皓,2614,2611,3,0,0,0,0.0
3013,晟銘電,8563,8507,56,21,20,1,0.25
3014,聯陽,2674,2688,-14,9,9,0,0.34
3015,全漢,2368,2403,-35,0,0,0,0.0
3016,嘉晶,8020,8050,-30,582,75,507,7.26
3017,奇鋐,3830,3908,-78,53,50,3,1.38
3018,隆銘綠能,0,0,0,0,0,0,0.0
3019,亞光,12456,12442,14,46,65,-19,0.37
3021,鴻名,630,655,-25,20,20,0,3.17
3022,威強電,6170,6209,-39,12,23,-11,0.19
3023,信邦,1216,1239,-23,7,7,0,0.58
3024,憶聲,10354,10489,-135,13,8,5,0.13
3025,星通,1615,1595,20,0,0,0,0.0
3026,禾伸堂,11916,10437,1479,413,385,28,3.47
3027,盛達,4563,4563,0,1,1,0,0.02
3028,增你強,2983,2983,0,112,93,19,3.75
3029,零壹,2773,2812,-39,16,7,9,0.58
3030,德律,9947,10067,-120,7,8,-1,0.07
3031,佰鴻,5263,5249,14,9,8,1,0.17
3032,偉訓,7791,7790,1,5,5,0,0.06
3033,威健,9559,9541,18,934,937,-3,9.77
3034,聯詠,2469,2477,-8,94,93,1,3.81
3035,智原,9558,9538,20,280,280,0,2.93
3036,文曄,14286,14041,245,41,39,2,0.29
3037,欣興,34435,34394,41,483,546,-63,1.4
3038,全台,1317,1388,-71,0,0,0,0.0
3040,遠見,9810,9886,-76,6,6,0,0.06
3041,揚智,3270,3290,-20,45,45,0,1.38
3042,晶技,13510,12152,1358,325,234,91,2.41
3043,科風,862,862,0,0,0,0,0.0
3044,健鼎,5735,5725,10,45,54,-9,0.78
3045,台灣大,117,98,19,165,170,-5,141.03
3046,建碁,1225,1214,11,2,5,-3,0.16
3047,訊舟,6270,6262,8,1,3,-2,0.02
3048,益登,6578,6509,69,25,16,9,0.38
3049,精金,4069,3931,138,19,14,5,0.47
3050,鈺德,3015,3022,-7,0,0,0,0.0
3051,力特,4049,4031,18,2,2,0,0.05
3052,夆典,1910,1910,0,0,0,0,0.0
3054,立萬利,1017,1016,1,0,0,0,0.0
3055,蔚華科,8356,7964,392,286,127,159,3.42
3056,富華新,3620,3631,-11,2,2,0,0.06
3057,喬鼎,0,0,0,0,0,0,0.0
3058,立德,0,0,0,0,0,0,0.0
3059,華晶科,11203,11194,9,3,2,1,0.03
3060,銘異,8469,8335,134,5,12,-7,0.06
3062,建漢,9916,10011,-95,55,53,2,0.55
3090,日電貿,6834,6669,165,57,52,5,0.83
3092,鴻碩,3607,3620,-13,5,3,2,0.14
3094,聯傑,3955,3996,-41,95,103,-8,2.4
3130,一零四,7,7,0,0,0,0,0.0
3135,凌航,3252,3189,63,105,113,-8,3.23
3138,耀登,2033,2037,-4,24,23,1,1.18
3149,正達,22526,22327,199,215,196,19,0.95
3150,鈺寶-創,235,235,0,0,0,0,0.0
3164,景岳,302,302,0,0,0,0,0.0
3167,大量,7755,8003,-248,159,256,-97,2.05
3168,眾福科,28,28,0,0,0,0,0.0
3189,景碩,22134,22493,-359,312,275,37,1.41
3209,全科,4987,5035,-48,0,0,0,0.0
3229,晟鈦,2765,2831,-66,68,76,-8,2.46
3231,緯創,54585,53826,759,467,497,-30,0.86
3257,虹冠電,2314,2384,-70,4,4,0,0.17
3266,昇陽,358,352,6,0,0,0,0.0
3296,勝德,1861,1862,-1,2,3,-1,0.11
3305,昇貿,6969,7070,-101,42,47,-5,0.6
3308,聯德,569,581,-12,0,0,0,0.0
3311,閎暉,3223,3211,12,0,0,0,0.0
3312,弘憶股,5189,5190,-1,3,22,-19,0.06
3321,同泰,0,0,0,0,0,0,0.0
3338,泰碩,3573,3592,-19,13,14,-1,0.36
3346,麗清,2949,2868,81,4,0,4,0.14
3356,奇偶,1492,1495,-3,0,0,0,0.0
3376,新日興,12334,12149,185,307,161,146,2.49
3380,明泰,6276,6340,-64,15,11,4,0.24
3406,玉晶光,4115,3881,234,504,481,23,12.25
3413,京鼎,3728,3740,-12,2,2,0,0.05
3416,融程電,886,879,7,7,7,0,0.79
3419,譁裕,702,703,-1,0,0,0,0.0
3432,台端,0,0,0,0,0,0,0.0
3437,榮創,3036,2990,46,74,53,21,2.44
3443,創意,4721,4704,17,129,112,17,2.73
3447,展達,1748,1746,2,6,6,0,0.34
3450,聯鈞,11776,11697,79,333,334,-1,2.83
3481,群創,325515,322935,2580,3922,4242,-320,1.2
3494,誠研,0,0,0,0,0,0,0.0
3501,維熹,1186,1187,-1,0,0,0,0.0
3504,揚明光,3557,3510,47,258,287,-29,7.25
3515,華擎,1686,1685,1,0,0,0,0.0
3518,柏騰,4681,4633,48,52,55,-3,1.11
3528,安馳,1940,1953,-13,0,0,0,0.0
3530,晶相光,1339,1343,-4,5,6,-1,0.37
3532,台勝科,8851,8750,101,911,907,4,10.29
3533,嘉澤,1654,1672,-18,0,1,-1,0.0
3535,晶彩科,3835,3893,-58,56,52,4,1.46
3543,州巧,4269,4202,67,84,139,-55,1.97
3545,敦泰,4379,4439,-60,36,36,0,0.82
3550,聯穎,13656,13648,8,11,11,0,0.08
