證券代號,證券名稱,融資今日餘額,融資前日餘額,融資增減,融券今日餘額,融券前日餘額,融券增減,券資比
00400A,主動國泰動能高息,9531,9619,-88,22,2,20,0.23
00401A,主動摩根台灣鑫收,1551,1608,-57,2,2,0,0.13
00402A,主動安聯美國科技,1268,1289,-21,2,2,0,0.16
00403A,主動統一升級50,83351,86480,-3129,4240,3753,487,5.09
00404A,主動聯博動能50,2969,3176,-207,0,0,0,0.0
00405A,主動富邦台灣龍耀,19783,20261,-478,968,1046,-78,4.89
00406A,主動中信台灣收益,57530,57332,198,22,74,-52,0.04
00407A,主動凱基台灣,19373,19851,-478,439,381,58,2.27
00408A,主動第一金優股息,267,317,-50,0,0,0,0.0
00409A,主動復華全球50,6002,5619,383,15,13,2,0.25
00410A,主動永豐科技趨勢,4269,4023,246,8,8,0,0.19
0050,元大台灣50,72773,33477,39296,683,591,92,0.94
0051,元大中型100,3,3,0,0,0,0,0.0
0052,富邦科技,7749,8125,-376,58,49,9,0.75
0053,元大電子,18,18,0,0,0,0,0.0
0055,元大MSCI金融,243,234,9,9,9,0,3.7
0056,元大高股息,3788,3550,238,216,215,1,5.7
0057,富邦摩台,0,0,0,0,0,0,0.0
0061,元大寶滬深,22,21,1,0,0,0,0.0
006203,元大MSCI台灣,2,2,0,0,0,0,0.0
006204,永豐臺灣加權,0,0,0,0,0,0,0.0
006205,富邦上証,86,90,-4,0,0,0,0.0
006206,元大上證50,8,8,0,0,0,0,0.0
006207,復華滬深,2,2,0,0,0,0,0.0
006208,富邦台50,246,259,-13,3,4,-1,1.22
00631L,元大台灣50正2,180603,189435,-8832,19677,18823,854,10.9
00632R,元大台灣50反1,291497,284293,7204,5663,5960,-297,1.94
00633L,富邦上証正2,8441,8449,-8,582,581,1,6.89
00634R,富邦上証反1,2180,2179,1,1,1,0,0.05
00635U,期元大S&P黃金,7808,7786,22,220,235,-15,2.82
00636,國泰中國A50,187,187,0,0,0,0,0.0
00637L,元大滬深300正2,90621,90742,-121,5493,5483,10,6.06
00638R,元大滬深300反1,828,828,0,4,4,0,0.48
00639,富邦深100,373,365,8,8,8,0,2.14
00640L,富邦日本正2,147,150,-3,36,36,0,24.49
00641R,富邦日本反1,9726,9746,-20,609,609,0,6.26
00642U,期元大S&P石油,1550,1580,-30,1506,1714,-208,97.16
00643,群益深証中小,406,406,0,0,0,0,0.0
00645,富邦日本,40,40,0,0,0,0,0.0
00646,元大S&P500,107,96,11,2,2,0,1.87
00647L,元大S&P500正2,48,33,15,0,0,0,0.0
00648R,元大S&P500反1,10438,10471,-33,102,102,0,0.98
00650L,復華香港正2,11295,11317,-22,655,647,8,5.8
00651R,復華香港反1,1450,1450,0,56,56,0,3.86
00652,富邦印度,46,46,0,0,0,0,0.0
00653L,富邦印度正2,1756,1756,0,0,0,0,0.0
00654R,富邦印度反1,595,605,-10,33,33,0,5.55
00655L,國泰中國A50正2,2137,2157,-20,185,190,-5,8.66
00656R,國泰中國A50反1,133,133,0,0,0,0,0.0
