證券代號,證券名稱,融資今日餘額,融資前日餘額,融資增減,融券今日餘額,融券前日餘額,融券增減,券資比
00400A,主動國泰動能高息,9579,9953,-374,0,0,0,0.0
00401A,主動摩根台灣鑫收,1537,1393,144,0,0,0,0.0
00402A,主動安聯美國科技,1820,1830,-10,1,1,0,0.05
00403A,主動統一升級50,89789,89077,712,3773,3681,92,4.2
00404A,主動聯博動能50,2032,1378,654,0,0,0,0.0
00405A,主動富邦台灣龍耀,21580,20587,993,650,675,-25,3.01
00406A,主動中信台灣收益,43707,44442,-735,302,22,280,0.69
00407A,主動凱基台灣,27789,27498,291,300,301,-1,1.08
00408A,主動第一金優股息,118,118,0,2,2,0,1.69
00409A,主動復華全球50,5992,6126,-134,10,10,0,0.17
00410A,主動永豐科技趨勢,3845,3834,11,3,3,0,0.08
0050,元大台灣50,17093,17676,-583,670,637,33,3.92
0051,元大中型100,3,3,0,0,0,0,0.0
0052,富邦科技,8501,8413,88,41,36,5,0.48
0053,元大電子,14,14,0,0,0,0,0.0
0055,元大MSCI金融,195,181,14,6,6,0,3.08
0056,元大高股息,3379,3366,13,227,229,-2,6.72
0057,富邦摩台,0,0,0,0,0,0,0.0
0061,元大寶滬深,19,17,2,0,0,0,0.0
006203,元大MSCI台灣,2,2,0,0,0,0,0.0
006204,永豐臺灣加權,0,0,0,0,0,0,0.0
006205,富邦上証,87,87,0,0,0,0,0.0
006206,元大上證50,8,8,0,0,0,0,0.0
006207,復華滬深,2,2,0,0,0,0,0.0
006208,富邦台50,261,252,9,3,3,0,1.15
00631L,元大台灣50正2,180103,182079,-1976,21366,21285,81,11.86
00632R,元大台灣50反1,288729,288707,22,5564,5527,37,1.93
00633L,富邦上証正2,8083,8054,29,590,590,0,7.3
00634R,富邦上証反1,2175,2174,1,0,0,0,0.0
00635U,期元大S&P黃金,8173,8171,2,229,232,-3,2.8
00636,國泰中國A50,187,188,-1,0,0,0,0.0
00637L,元大滬深300正2,89370,88382,988,5654,5679,-25,6.33
00638R,元大滬深300反1,828,828,0,4,4,0,0.48
00639,富邦深100,388,361,27,8,8,0,2.06
00640L,富邦日本正2,145,140,5,36,36,0,24.83
00641R,富邦日本反1,9822,9799,23,583,567,16,5.94
00642U,期元大S&P石油,1856,1695,161,1310,1264,46,70.58
00643,群益深証中小,486,486,0,0,0,0,0.0
00645,富邦日本,39,39,0,0,0,0,0.0
00646,元大S&P500,72,72,0,2,2,0,2.78
00647L,元大S&P500正2,40,40,0,0,0,0,0.0
00648R,元大S&P500反1,10307,10277,30,103,104,-1,1.0
00650L,復華香港正2,11548,11503,45,998,1014,-16,8.64
00651R,復華香港反1,1452,1464,-12,56,56,0,3.86
00652,富邦印度,44,35,9,0,0,0,0.0
00653L,富邦印度正2,2213,2203,10,0,0,0,0.0
00654R,富邦印度反1,628,628,0,62,62,0,9.87
00655L,國泰中國A50正2,2207,2204,3,209,209,0,9.47
00656R,國泰中國A50反1,132,132,0,0,0,0,0.0
00657,國泰日經225,0,0,0,0,0,0,0.0
00660,元大歐洲50,0,0,0,0,0,0,0.0
00661,元大日經225,7,7,0,0,0,0,0.0
00662,富邦NASDAQ,1707,1711,-4,1,0,1,0.06
00663L,國泰臺灣加權正2,8522,8410,112,1607,1696,-89,18.86
00664R,國泰臺灣加權反1,72488,72147,341,549,514,35,0.76
00665L,富邦恒生國企正2,55342,54942,400,507,630,-123,0.92
00666R,富邦恒生國企反1,690,690,0,7,7,0,1.01
00668,國泰美國道瓊,2,2,0,0,0,0,0.0
00669R,國泰美國道瓊反1,13511,13599,-88,60,60,0,0.44
00670L,富邦NASDAQ正2,1284,1300,-16,172,171,1,13.4
00671R,富邦NASDAQ反1,119609,119609,0,2496,2496,0,2.09
00673R,期元大S&P原油反1,106021,116420,-10399,2192,2187,5,2.07
00674R,期元大S&P黃金反1,126,126,0,6,6,0,4.76
00675L,富邦臺灣加權正2,2604,2570,34,299,307,-8,11.48
00676R,富邦臺灣加權反1,27575,27387,188,150,177,-27,0.54
00678,群益那斯達克生技,10,10,0,0,0,0,0.0
