證券代號,證券名稱,融資今日餘額,融資前日餘額,融資增減,融券今日餘額,融券前日餘額,融券增減,券資比
00400A,主動國泰動能高息,8800,8757,43,2,10,-8,0.02
00401A,主動摩根台灣鑫收,1620,1616,4,2,2,0,0.12
00402A,主動安聯美國科技,1300,1297,3,1,1,0,0.08
00403A,主動統一升級50,89720,89608,112,3358,3398,-40,3.74
00404A,主動聯博動能50,3802,3990,-188,0,0,0,0.0
00405A,主動富邦台灣龍耀,21619,21730,-111,673,699,-26,3.11
00406A,主動中信台灣收益,55124,53094,2030,1302,2047,-745,2.36
00407A,主動凱基台灣,20373,20309,64,235,767,-532,1.15
00408A,主動第一金優股息,317,310,7,0,0,0,0.0
00409A,主動復華全球50,6241,6055,186,0,0,0,0.0
00410A,主動永豐科技趨勢,3673,3649,24,4,4,0,0.11
0050,元大台灣50,17925,18771,-846,478,529,-51,2.67
0051,元大中型100,3,3,0,0,0,0,0.0
0052,富邦科技,8376,8501,-125,38,38,0,0.45
0053,元大電子,18,18,0,0,0,0,0.0
0055,元大MSCI金融,254,220,34,6,6,0,2.36
0056,元大高股息,3345,3323,22,189,184,5,5.65
0057,富邦摩台,0,0,0,0,0,0,0.0
0061,元大寶滬深,24,24,0,0,0,0,0.0
006203,元大MSCI台灣,2,2,0,0,0,0,0.0
006204,永豐臺灣加權,0,0,0,0,0,0,0.0
006205,富邦上証,87,77,10,0,0,0,0.0
006206,元大上證50,8,8,0,0,0,0,0.0
006207,復華滬深,2,2,0,0,0,0,0.0
006208,富邦台50,259,257,2,1,1,0,0.39
00631L,元大台灣50正2,213738,197144,16594,19011,18870,141,8.89
00632R,元大台灣50反1,284500,283426,1074,6297,6262,35,2.21
00633L,富邦上証正2,8520,8504,16,576,587,-11,6.76
00634R,富邦上証反1,2180,2179,1,1,1,0,0.05
00635U,期元大S&P黃金,7738,7628,110,223,224,-1,2.88
00636,國泰中國A50,187,187,0,0,0,0,0.0
00637L,元大滬深300正2,91542,90661,881,5522,5599,-77,6.03
00638R,元大滬深300反1,828,848,-20,4,4,0,0.48
00639,富邦深100,376,391,-15,8,8,0,2.13
00640L,富邦日本正2,152,152,0,36,36,0,23.68
00641R,富邦日本反1,9996,10023,-27,609,612,-3,6.09
00642U,期元大S&P石油,2296,2392,-96,1823,1764,59,79.4
00643,群益深証中小,406,406,0,0,0,0,0.0
00645,富邦日本,39,39,0,0,0,0,0.0
00646,元大S&P500,68,69,-1,2,2,0,2.94
