證券代號,證券名稱,融資今日餘額,融資前日餘額,融資增減,融券今日餘額,融券前日餘額,融券增減,券資比
00400A,主動國泰動能高息,8638,8506,132,1,1,0,0.01
00401A,主動摩根台灣鑫收,1618,1929,-311,1,0,1,0.06
00402A,主動安聯美國科技,1297,1326,-29,1,1,0,0.08
00403A,主動統一升級50,88636,88560,76,3495,3576,-81,3.94
00404A,主動聯博動能50,3589,3471,118,0,0,0,0.0
00405A,主動富邦台灣龍耀,20071,21887,-1816,883,754,129,4.4
00406A,主動中信台灣收益,49506,47291,2215,1596,966,630,3.22
00407A,主動凱基台灣,20163,20343,-180,236,321,-85,1.17
00408A,主動第一金優股息,271,526,-255,0,0,0,0.0
00409A,主動復華全球50,5944,6089,-145,0,2,-2,0.0
00410A,主動永豐科技趨勢,3498,3482,16,3,3,0,0.09
0050,元大台灣50,18238,17991,247,542,557,-15,2.97
0051,元大中型100,3,3,0,0,0,0,0.0
0052,富邦科技,8524,8420,104,36,38,-2,0.42
0053,元大電子,18,18,0,0,0,0,0.0
0055,元大MSCI金融,233,179,54,6,6,0,2.58
0056,元大高股息,3291,3286,5,187,192,-5,5.68
0057,富邦摩台,0,0,0,0,0,0,0.0
0061,元大寶滬深,24,23,1,0,0,0,0.0
006203,元大MSCI台灣,2,2,0,0,0,0,0.0
006204,永豐臺灣加權,0,0,0,0,0,0,0.0
006205,富邦上証,77,77,0,0,0,0,0.0
006206,元大上證50,8,8,0,0,0,0,0.0
006207,復華滬深,2,2,0,0,0,0,0.0
006208,富邦台50,256,255,1,1,1,0,0.39
00631L,元大台灣50正2,196500,195154,1346,17905,18422,-517,9.11
00632R,元大台灣50反1,284681,281733,2948,6123,5976,147,2.15
00633L,富邦上証正2,8384,8392,-8,588,588,0,7.01
00634R,富邦上証反1,2179,2179,0,0,0,0,0.0
00635U,期元大S&P黃金,7572,7612,-40,225,224,1,2.97
00636,國泰中國A50,187,187,0,0,0,0,0.0
00637L,元大滬深300正2,89438,89413,25,5598,5597,1,6.26
00638R,元大滬深300反1,853,853,0,4,4,0,0.47
00639,富邦深100,407,407,0,8,8,0,1.97
00640L,富邦日本正2,153,165,-12,36,36,0,23.53
00641R,富邦日本反1,9930,9869,61,589,580,9,5.93
00642U,期元大S&P石油,2353,2326,27,1717,1697,20,72.97
00643,群益深証中小,486,486,0,0,0,0,0.0
00645,富邦日本,39,39,0,0,0,0,0.0
00646,元大S&P500,66,64,2,2,2,0,3.03
00647L,元大S&P500正2,31,34,-3,0,0,0,0.0
00648R,元大S&P500反1,10486,10497,-11,102,102,0,0.97
00650L,復華香港正2,11010,11024,-14,859,834,25,7.8
00651R,復華香港反1,1413,1413,0,56,56,0,3.96
00652,富邦印度,46,46,0,0,0,0,0.0
00653L,富邦印度正2,2226,2226,0,0,0,0,0.0
00654R,富邦印度反1,605,604,1,31,33,-2,5.12
00655L,國泰中國A50正2,2157,2154,3,204,209,-5,9.46
00656R,國泰中國A50反1,132,132,0,0,0,0,0.0
00657,國泰日經225,0,0,0,0,0,0,0.0
00660,元大歐洲50,0,0,0,0,0,0,0.0
00661,元大日經225,8,8,0,0,0,0,0.0
00662,富邦NASDAQ,1704,1708,-4,1,1,0,0.06
00663L,國泰臺灣加權正2,8796,8704,92,1493,1461,32,16.97
00664R,國泰臺灣加權反1,74240,74544,-304,480,465,15,0.65
00665L,富邦恒生國企正2,55989,56003,-14,594,536,58,1.06
00666R,富邦恒生國企反1,683,688,-5,7,7,0,1.02
00668,國泰美國道瓊,2,2,0,0,0,0,0.0
00669R,國泰美國道瓊反1,13773,13683,90,62,62,0,0.45
00670L,富邦NASDAQ正2,1328,1286,42,161,151,10,12.12
00671R,富邦NASDAQ反1,119110,119127,-17,2452,2449,3,2.06
00673R,期元大S&P原油反1,144984,124083,20901,6701,6713,-12,4.62
00674R,期元大S&P黃金反1,116,106,10,7,7,0,6.03
