證券代號,大戶比例_本週,千張比例_本週,散戶比例_本週,大戶比例_上週,千張比例_上週,散戶比例_上週,大戶本週增減,千張本週增減,散戶本週增減
7949,98.99,97.49,1.0,0.0,0.0,0.0,98.99,97.49,1.0
7947,81.7,74.67,18.21,0.0,0.0,0.0,81.7,74.67,18.21
5286,79.97,69.95,19.93,0.0,0.0,0.0,79.97,69.95,19.93
8277,100.0,100.0,0.0,20.99,15.45,78.92,79.01,84.55,-78.92
8157O,78.64,78.64,21.29,0.0,0.0,0.0,78.64,78.64,21.29
6536O,74.31,58.26,25.62,0.0,0.0,0.0,74.31,58.26,25.62
8059O,73.01,69.37,26.92,0.0,0.0,0.0,73.01,69.37,26.92
2321O,71.37,71.37,28.59,0.0,0.0,0.0,71.37,71.37,28.59
5271,100.0,100.0,0.0,29.49,20.52,70.42,70.51,79.48,-70.42
3688O,67.86999999999999,65.63,32.04,0.0,0.0,0.0,67.86999999999999,65.63,32.04
3710,100.0,100.0,0.0,32.78,22.1,67.14,67.22,77.9,-67.14
3356,100.0,100.0,0.0,35.59,28.84,64.34,64.41,71.16,-64.34
6461,60.42999999999999,52.73,39.49,0.0,0.0,0.0,60.42999999999999,52.73,39.49
3591O,53.68,47.2,46.26,0.0,0.0,0.0,53.68,47.2,46.26
3591,100.0,100.0,0.0,54.47,47.78,45.44,45.53,52.22,-45.44
3356O,34.84,29.28,65.10000000000001,0.0,0.0,0.0,34.84,29.28,65.10000000000001
3710O,32.879999999999995,22.16,67.04,0.0,0.0,0.0,32.879999999999995,22.16,67.04
5271O,29.509999999999998,20.52,70.41,0.0,0.0,0.0,29.509999999999998,20.52,70.41
2321,100.0,100.0,0.0,71.34,71.34,28.599999999999998,28.659999999999997,28.659999999999997,-28.599999999999998
8059,100.0,100.0,0.0,72.97999999999999,69.35,26.950000000000003,27.02000000000001,30.650000000000006,-26.950000000000003
8277O,21.77,15.74,78.16,0.0,0.0,0.0,21.77,15.74,78.16
8157,100.0,100.0,0.0,78.64,78.64,21.29,21.36,21.36,-21.29
8227,38.599999999999994,21.08,61.33,26.169999999999998,18.22,73.76,12.429999999999996,2.8599999999999994,-12.430000000000007
00856B,65.55,59.59,34.39,56.769999999999996,44.16,43.15,8.780000000000001,15.430000000000007,-8.759999999999998
6179,50.22,40.35,49.7,42.95,32.46,56.97,7.269999999999996,7.890000000000001,-7.269999999999996
00715L,59.93,53.68,40.05,53.0,48.92,46.97,6.93,4.759999999999998,-6.920000000000002
00985B,64.18,54.15,35.769999999999996,57.4,45.25,42.519999999999996,6.780000000000008,8.899999999999999,-6.75
00678,23.849999999999998,0.0,76.1,17.73,0.0,82.2,6.119999999999997,0.0,-6.1000000000000085
3094,22.92,14.98,76.99,16.810000000000002,12.98,83.13,6.109999999999999,2.0,-6.140000000000001
00673R,51.53,39.51,48.41,45.51,32.4,54.41,6.020000000000003,7.109999999999999,-6.0
1727,64.88,57.82,35.04,59.019999999999996,51.19,40.91,5.859999999999999,6.630000000000003,-5.869999999999997
00897,22.9,14.31,77.02,17.12,7.79,82.81,5.779999999999998,6.5200000000000005,-5.790000000000006
00989B,39.65,25.02,60.26,34.03,19.91,65.9,5.619999999999997,5.109999999999999,-5.640000000000008
6226,32.59,24.98,67.35,26.990000000000002,20.59,72.94,5.600000000000001,4.390000000000001,-5.590000000000003
8431,34.0,16.1,65.92,28.509999999999998,16.09,71.42,5.490000000000002,0.010000000000001563,-5.5
00401A,25.18,21.73,74.73,19.72,15.95,80.22,5.460000000000001,5.780000000000001,-5.489999999999995
6168,52.199999999999996,49.12,47.74,46.809999999999995,43.62,53.12,5.390000000000001,5.5,-5.3799999999999955
6538,52.32,23.61,47.61,47.07,23.68,52.84,5.25,-0.07000000000000028,-5.230000000000004
6426,50.269999999999996,38.79,49.65,45.11,39.05,54.82,5.159999999999997,-0.259999999999998,-5.170000000000002
00657,15.05,0.0,84.88,10.07,0.0,89.85,4.98,0.0,-4.969999999999999
5314,44.44,40.03,55.480000000000004,39.48,35.65,60.45,4.960000000000001,4.380000000000003,-4.969999999999999
00961,12.71,7.47,87.23,7.82,2.51,92.33,4.890000000000001,4.96,-5.099999999999994
00965,46.300000000000004,43.34,53.62,41.48,38.4,58.46,4.820000000000007,4.940000000000005,-4.840000000000003
00642U,47.29,40.19,53.38,42.480000000000004,34.64,57.46,4.809999999999995,5.549999999999997,-4.079999999999998
8021,48.21,37.25,51.72,43.44,30.9,56.49,4.770000000000003,6.350000000000001,-4.770000000000003
6834,60.839999999999996,47.8,39.1,56.300000000000004,44.95,43.64,4.539999999999992,2.8499999999999943,-4.539999999999999
009809,38.01,33.12,61.93,33.5,28.56,66.43,4.509999999999998,4.559999999999999,-4.500000000000007
2305,67.44,62.22,32.480000000000004,63.17,58.07,36.75,4.269999999999996,4.149999999999999,-4.269999999999996
7566,66.92,55.01,33.01,62.739999999999995,51.94,37.2,4.180000000000007,3.0700000000000003,-4.190000000000005
6667,54.9,50.43,45.03,50.95,46.21,48.98,3.9499999999999957,4.219999999999999,-3.9499999999999957
