Date,Code,Name,TradeVolume,TradeValue,OpeningPrice,HighestPrice,LowestPrice,ClosingPrice,Change,Transaction
1150917,00400A,主動國泰動能高息,28176494,415348187,14,14,14,14,0.05,6185
1150917,00401A,主動摩根台灣鑫收,5406284,75972150,13,14,13,13,0.09,854
1150917,00402A,主動安聯美國科技,3172779,30226823,9,9,9,9,0.11,695
1150917,00403A,主動統一升級50,170319377,1727781198,10,10,10,10,-0.01,23255
1150917,00404A,主動聯博動能50,11321851,108461562,9,9,9,9,0.06,1511
1150917,00405A,主動富邦台灣龍耀,62814728,538315001,8,8,8,8,-0.03,7203
1150917,00406A,主動中信台灣收益,480086185,4517402234,9,9,9,9,-0.03,67332
1150917,00407A,主動凱基台灣,28098431,265960572,9,9,9,9,-0.01,4643
1150917,00408A,主動第一金優股息,2082345,21313974,10,10,10,10,-0.01,324
1150917,00409A,主動復華全球50,13483008,128997168,9,9,9,9,0.07,2092
1150917,00410A,主動永豐科技趨勢,4414845,52172639,11,12,11,11,-0.04,1119
1150917,0050,元大台灣50,49931752,5418346575,107,109,107,108,1.15,54509
1150917,0051,元大中型100,26976,3899224,144,145,143,143,1.0,334
1150917,0052,富邦科技,11729608,738507244,62,63,62,62,0.75,9727
1150917,0053,元大電子,50722,12333708,241,244,241,241,2.45,2175
1150917,0055,元大MSCI金融,1570608,79562118,50,51,50,50,0.55,3036
1150917,0056,元大高股息,26260542,1479167369,55,56,55,56,0.75,21087
1150917,0057,富邦摩台,40794,13245633,326,326,324,324,4.4,863
1150917,0061,元大寶滬深,38630,922001,23,23,23,23,0.08,81
1150917,006203,元大MSCI台灣,8869,1738927,197,197,195,195,1.15,237
1150917,006204,永豐臺灣加權,2377,552158,232,232,232,232,3.85,99
1150917,006205,富邦上証,208345,8305402,39,40,39,39,0.08,187
1150917,006206,元大上證50,21341,794991,38,38,37,37,-0.01,114
1150917,006207,復華滬深,171853,5456878,31,31,31,31,0.08,121
1150917,006208,富邦台50,1395225,346891743,247,250,247,247,2.8,7301
1150917,00625K,富邦上証+R,0,0,0,0,0,0,0.0,0
1150917,00631L,元大台灣50正2,184977599,6776711236,36,37,36,36,0.85,47797
1150917,00632R,元大台灣50反1,132100063,1295784973,9,9,9,9,-0.11,13129
1150917,00633L,富邦上証正2,1445305,67485025,46,47,46,46,0.16,254
1150917,00634R,富邦上証反1,98008,311695,3,3,3,3,0.0,8
1150917,00635U,期元大S&P黃金,3436419,152357870,44,44,44,44,-0.4,3324
1150917,00636,國泰中國A50,450673,12254341,27,27,27,27,0.11,193
1150917,00636K,國泰中國A50+U,200,1708,8,8,8,8,0.01,2
1150917,00637L,元大滬深300正2,11656697,224531276,19,19,19,19,0.08,1185
1150917,00638R,元大滬深300反1,16008,108804,6,6,6,6,0.03,4
1150917,00639,富邦深100,577304,9190649,15,16,15,15,0.12,198
1150917,00640L,富邦日本正2,65238,6979973,106,107,106,106,1.25,90
1150917,00641R,富邦日本反1,656885,2417827,3,3,3,3,-0.04,72
1150917,00642U,期元大S&P石油,2126601,70880332,33,33,33,33,-0.8,775
1150917,00643,群益深証中小,2257929,40546765,17,18,17,18,0.21,125
