Date,Code,Name,TradeVolume,TradeValue,OpeningPrice,HighestPrice,LowestPrice,ClosingPrice,Change,Transaction
1150907,00400A,主動國泰動能高息,40033236,610555603,15,15,15,15,0.0,6895
1150907,00401A,主動摩根台灣鑫收,5436206,77769207,14,14,14,14,0.19,1201
1150907,00402A,主動安聯美國科技,2756565,26239892,9,9,9,9,0.01,754
1150907,00403A,主動統一升級50,301191388,3136816992,10,10,10,10,0.13,35775
1150907,00404A,主動聯博動能50,17452957,174701249,9,10,9,10,0.17,2610
1150907,00405A,主動富邦台灣龍耀,67081135,593666903,8,8,8,8,0.15,7617
1150907,00406A,主動中信台灣收益,127487858,1237794324,9,9,9,9,0.12,17431
1150907,00407A,主動凱基台灣,39171838,385225055,9,9,9,9,0.09,5332
1150907,00408A,主動第一金優股息,1227598,12943502,10,10,10,10,-0.04,261
1150907,00409A,主動復華全球50,35744024,355008259,9,9,9,9,0.01,4750
1150907,00410A,主動永豐科技趨勢,8990693,109330051,12,12,12,12,-0.06,1414
1150907,0050,元大台灣50,108677081,11915554302,109,110,108,109,2.0,116883
1150907,0051,元大中型100,101235,14884539,146,147,146,147,1.5,559
1150907,0052,富邦科技,22956706,1459928178,63,63,63,63,1.05,16316
1150907,0053,元大電子,38527,9541900,246,248,246,248,4.65,986
1150907,0055,元大MSCI金融,958278,46629996,49,49,48,48,-0.37,2790
1150907,0056,元大高股息,24363427,1360584601,55,56,55,55,0.45,25855
1150907,0057,富邦摩台,17690,5770095,326,327,326,326,5.3,856
1150907,0061,元大寶滬深,51190,1240066,24,24,24,24,-0.09,160
1150907,006203,元大MSCI台灣,27277,5426579,198,199,197,199,3.3,959
1150907,006204,永豐臺灣加權,23239,5473430,235,236,235,236,4.1,147
1150907,006205,富邦上証,183909,7413571,41,41,40,40,-0.6,301
1150907,006206,元大上證50,22117,834648,38,38,37,37,-0.58,268
1150907,006207,復華滬深,129375,4145625,32,32,32,32,-0.27,164
1150907,006208,富邦台50,3867826,971695729,249,252,249,251,4.4,13636
1150907,00625K,富邦上証+R,0,0,0,0,0,0,0.0,0
1150907,00631L,元大台灣50正2,252885652,9519371947,37,37,37,37,1.2,64236
1150907,00632R,元大台灣50反1,165834044,1602973124,9,9,9,9,-0.17,20117
1150907,00633L,富邦上証正2,1745601,84585054,48,49,48,48,-0.43,421
1150907,00634R,富邦上証反1,103300,321262,3,3,3,3,0.0,6
1150907,00635U,期元大S&P黃金,2735885,124540793,45,45,45,45,-0.64,3073
1150907,00636,國泰中國A50,213827,5886827,27,27,27,27,-0.25,290
1150907,00636K,國泰中國A50+U,200,1742,8,8,8,8,-0.03,2
1150907,00637L,元大滬深300正2,10718316,213546530,20,20,19,19,-0.18,1965
1150907,00638R,元大滬深300反1,39150,260073,6,6,6,6,0.01,11
1150907,00639,富邦深100,645823,10427827,16,16,16,16,0.1,251
1150907,00640L,富邦日本正2,38954,4259071,109,109,108,109,0.55,81
1150907,00641R,富邦日本反1,4201036,15260936,3,3,3,3,-0.04,102
1150907,00642U,期元大S&P石油,1699550,51940642,30,30,30,30,0.4,795
1150907,00643,群益深証中小,2747287,49667251,17,18,17,18,-0.04,171
1150907,00643K,群益深証中小+R,0,0,0,0,0,0,0.0,0
1150907,00645,富邦日本,203553,11849559,58,58,58,58,0.2,379
1150907,00646,元大S&P500,4262369,327503261,76,76,76,76,-0.7,6043
1150907,00647L,元大S&P500正2,76792,10653019,138,139,138,138,-1.75,113
1150907,00648R,元大S&P500反1,295990,1154726,3,3,3,3,0.03,40
1150907,00650L,復華香港正2,2069560,35370807,17,17,16,17,-0.46,700
1150907,00651R,復華香港反1,213744,1098004,5,5,5,5,0.05,38
1150907,00652,富邦印度,157034,5161587,33,33,32,32,-0.24,373
1150907,00653L,富邦印度正2,240131,10882428,45,45,45,45,-0.73,146
1150907,00654R,富邦印度反1,9000,61290,6,6,6,6,0.05,1
1150907,00655L,國泰中國A50正2,670822,22595429,33,34,33,33,-0.32,175
1150907,00656R,國泰中國A50反1,36150,211334,5,5,5,5,0.01,10
1150907,00657,國泰日經225,70736,5539167,78,78,77,78,1.55,102
1150907,00657K,國泰日經225+U,200,4958,24,24,24,24,0.56,2
1150907,00660,元大歐洲50,9645,450472,46,46,46,46,0.03,27
1150907,00661,元大日經225,77906,6691853,85,86,85,85,1.75,283
1150907,00662,富邦NASDAQ,3854601,462525665,119,120,119,120,-0.45,4005
1150907,00663L,國泰臺灣加權正2,9330917,1019075420,108,110,108,109,3.45,3783
1150907,00664R,國泰臺灣加權反1,22575176,35286260,1,1,1,1,-0.02,1718
1150907,00665L,富邦恒生國企正2,11692532,109650131,9,9,9,9,-0.32,1468
1150907,00666R,富邦恒生國企反1,37650,339760,8,9,8,9,0.14,29
1150907,00668,國泰美國道瓊,24654,1516883,61,61,61,61,-0.95,152
1150907,00668K,國泰美國道瓊+U,200,3916,19,19,19,19,-0.08,2
1150907,00669R,國泰美國道瓊反1,638250,3302111,5,5,5,5,0.02,52
1150907,00670L,富邦NASDAQ正2,606513,121433128,199,200,199,200,-0.35,665
1150907,00671R,富邦NASDAQ反1,1618616,3924148,2,2,2,2,0.0,68
1150907,00673R,期元大S&P原油反1,42060884,468904576,11,11,11,11,-0.15,6006
1150907,00674R,期元大S&P黃金反1,128736,3566910,27,27,27,27,0.3,67
1150907,00675L,富邦臺灣加權正2,1753112,580027230,329,334,327,332,10.7,1981
1150907,00676R,富邦臺灣加權反1,11684841,62518577,5,5,5,5,-0.09,806
1150907,00678,群益那斯達克生技,243236,10692929,44,44,43,43,-0.76,192
1150907,00680L,元大美債20正2,3248371,20758852,6,6,6,6,-0.05,306
1150907,00681R,元大美債20反1,64000,1388170,21,21,21,21,0.04,10
1150907,00682U,期元大美元指數,7,141,0,0,0,0,0.0,2
1150907,00683L,期元大美元指正2,48189,1023225,21,21,21,21,0.03,12
1150907,00684R,期元大美元指反1,22,331,0,0,0,0,0.0,2
1150907,00685L,群益臺灣加權正2,301014748,3752129326,12,12,12,12,0.39,41161
1150907,00686R,群益臺灣加權反1,8851938,8490639,0,0,0,0,-0.03,383
1150907,00688L,國泰20年美債正2,2833699,18077735,6,6,6,6,-0.02,145
1150907,00689R,國泰20年美債反1,303000,6884100,22,22,22,22,-0.02,7
1150907,00690,兆豐藍籌30,419787,34120807,80,81,80,81,1.5,874
1150907,00692,富邦公司治理,1024879,96286228,93,94,93,94,1.75,1676
1150907,00693U,期街口S&P黃豆,966626,22969741,23,23,23,23,-0.17,289
1150907,00700,富邦恒生國企,112524,1949472,17,17,17,17,-0.32,171
1150907,00701,國泰股利精選30,1019242,41298602,40,40,40,40,0.62,736
1150907,00702,國泰標普低波高息,108089,2679672,24,24,24,24,-0.17,83
1150907,00703,台新MSCI中國,36936,714388,19,19,19,19,-0.33,33
1150907,00706L,期元大S&P日圓正2,1329942,26126906,19,19,19,19,0.07,304
1150907,00707R,期元大S&P日圓反1,0,0,0,0,0,0,0.0,0
1150907,00708L,期元大S&P黃金正2,4421636,358549494,81,81,80,81,-2.3,3196
1150907,00709,富邦歐洲,19215,784315,40,40,40,40,-0.24,170
