Date,Code,Name,TradeVolume,TradeValue,OpeningPrice,HighestPrice,LowestPrice,ClosingPrice,Change,Transaction
1150914,00400A,主動國泰動能高息,30886201,450028338,14,14,14,14,-0.08,9315
1150914,00401A,主動摩根台灣鑫收,6642835,91820483,13,13,13,13,0.0,1603
1150914,00402A,主動安聯美國科技,2277914,21453771,9,9,9,9,-0.02,603
1150914,00403A,主動統一升級50,147353056,1479173876,10,10,9,10,-0.08,28262
1150914,00404A,主動聯博動能50,21546204,210363699,9,9,9,9,-0.02,3964
1150914,00405A,主動富邦台灣龍耀,38463675,327488100,8,8,8,8,-0.03,5681
1150914,00406A,主動中信台灣收益,193984876,1810754711,9,9,9,9,-0.05,41109
1150914,00407A,主動凱基台灣,21301053,200482996,9,9,9,9,-0.09,4779
1150914,00408A,主動第一金優股息,2760136,28234974,10,10,10,10,-0.04,338
1150914,00409A,主動復華全球50,14936158,141970606,9,9,9,9,-0.1,4071
1150914,00410A,主動永豐科技趨勢,4672597,54282910,11,11,11,11,-0.16,1421
1150914,0050,元大台灣50,91951392,9790702094,106,107,105,106,-0.8,164395
1150914,0051,元大中型100,69675,9945772,144,144,141,143,-1.3,646
1150914,0052,富邦科技,11505257,711913661,61,62,61,61,-0.65,17269
1150914,0053,元大電子,121405,28936205,238,239,236,238,-2.2,2961
1150914,0055,元大MSCI金融,1254556,62028734,49,50,48,50,0.98,2948
1150914,0056,元大高股息,18893508,1039360756,54,55,54,55,0.1,25946
1150914,0057,富邦摩台,18306,5855830,316,318,315,318,-2.9,1244
1150914,0061,元大寶滬深,35584,850024,23,24,23,23,0.03,109
1150914,006203,元大MSCI台灣,21404,4168520,192,194,191,194,-1.65,1416
1150914,006204,永豐臺灣加權,24822,5684808,227,230,227,230,-2.05,137
1150914,006205,富邦上証,171176,6818800,39,39,39,39,0.17,199
1150914,006206,元大上證50,12061,447265,36,37,36,37,0.13,141
1150914,006207,復華滬深,118834,3779982,31,31,31,31,0.01,146
1150914,006208,富邦台50,1997029,487449319,242,245,242,244,-1.45,14035
1150914,00625K,富邦上証+R,0,0,0,0,0,0,0.0,0
