Date,Code,Name,TradeVolume,TradeValue,OpeningPrice,HighestPrice,LowestPrice,ClosingPrice,Change,Transaction
1150908,00400A,主動國泰動能高息,27893443,421794590,15,15,14,15,-0.21,9000
1150908,00401A,主動摩根台灣鑫收,5784695,83033189,14,14,14,14,-0.03,1464
1150908,00402A,主動安聯美國科技,3950583,37633741,9,9,9,9,0.0,683
1150908,00403A,主動統一升級50,112048474,1156829307,10,10,10,10,-0.15,20109
1150908,00404A,主動聯博動能50,34321150,344110058,10,10,9,9,-0.04,6184
1150908,00405A,主動富邦台灣龍耀,45687519,401558867,8,8,8,8,-0.12,5744
1150908,00406A,主動中信台灣收益,123874950,1195423654,9,9,9,9,-0.08,23561
1150908,00407A,主動凱基台灣,23616132,229912707,9,9,9,9,-0.14,5526
1150908,00408A,主動第一金優股息,1697661,17709048,10,10,10,10,-0.09,300
1150908,00409A,主動復華全球50,21887061,217271969,9,9,9,9,-0.01,3007
1150908,00410A,主動永豐科技趨勢,7836020,94234745,12,12,11,11,-0.21,1672
1150908,0050,元大台灣50,75243156,8285982385,110,110,109,109,-0.25,87371
1150908,0051,元大中型100,28386,4160992,147,147,145,146,-1.4,427
1150908,0052,富邦科技,22549037,1443965723,63,64,63,63,-0.15,12987
1150908,0053,元大電子,32805,8136210,249,249,246,246,-2.3,1382
1150908,0055,元大MSCI金融,481438,23582951,48,49,48,49,0.61,2112
1150908,0056,元大高股息,17306149,964392261,55,55,55,55,-0.1,20301
1150908,0057,富邦摩台,35830,11805524,328,330,327,327,0.95,860
1150908,0061,元大寶滬深,82466,1987067,24,24,24,24,-0.19,166
1150908,006203,元大MSCI台灣,9886,1981992,200,201,200,200,1.35,986
1150908,006204,永豐臺灣加權,5415,1278603,236,236,236,236,-0.1,127
1150908,006205,富邦上証,187855,7547887,40,40,40,40,0.03,310
1150908,006206,元大上證50,21310,800178,37,38,37,37,-0.05,126
1150908,006207,復華滬深,284274,9106633,32,32,31,32,-0.06,126
1150908,006208,富邦台50,2323306,585132981,251,253,250,250,-1.6,9784
1150908,00625K,富邦上証+R,0,0,0,0,0,0,0.0,0
1150908,00631L,元大台灣50正2,139853861,5296001315,37,38,37,37,-0.35,45945
1150908,00632R,元大台灣50反1,79737481,770973956,9,9,9,9,0.06,7158
1150908,00633L,富邦上証正2,1195043,57765232,48,48,47,48,-0.32,256
1150908,00634R,富邦上証反1,3000,9350,3,3,3,3,0.02,3
1150908,00635U,期元大S&P黃金,2107589,96424212,45,45,45,45,0.12,1528
1150908,00636,國泰中國A50,288094,7896028,27,27,27,27,-0.12,272
1150908,00636K,國泰中國A50+U,200,1748,8,8,8,8,0.03,2
1150908,00637L,元大滬深300正2,10868025,215597970,19,20,19,19,-0.17,1282
1150908,00638R,元大滬深300反1,0,0,0,0,0,0,0.0,0
1150908,00639,富邦深100,297059,4806988,16,16,16,16,-0.07,227
1150908,00640L,富邦日本正2,43431,4689588,108,108,107,107,-1.8,96
1150908,00641R,富邦日本反1,889160,3252564,3,3,3,3,0.06,58
1150908,00642U,期元大S&P石油,1561596,47953591,30,30,30,30,0.18,605
1150908,00643,群益深証中小,2255083,40868540,18,18,18,18,0.03,137
1150908,00643K,群益深証中小+R,0,0,0,0,0,0,0.0,0
