Date,Code,Name,TradeVolume,TradeValue,OpeningPrice,HighestPrice,LowestPrice,ClosingPrice,Change,Transaction
1150922,00400A,主動國泰動能高息,55410323,865163722,15,15,15,15,0.27,8477
1150922,00401A,主動摩根台灣鑫收,7135135,103000658,14,14,14,14,0.01,1217
1150922,00402A,主動安聯美國科技,31960471,319811817,9,10,9,10,0.25,3587
1150922,00403A,主動統一升級50,581738788,6269212071,10,10,10,10,0.21,67674
1150922,00404A,主動聯博動能50,21072980,209612350,9,10,9,9,0.07,2625
1150922,00405A,主動富邦台灣龍耀,191030167,1772667174,9,9,9,9,0.26,17968
1150922,00406A,主動中信台灣收益,273137945,2702901742,9,9,9,9,0.14,35772
1150922,00407A,主動凱基台灣,156104241,1578808379,10,10,10,10,0.2,14122
1150922,00408A,主動第一金優股息,1314490,13866873,10,10,10,10,0.08,266
1150922,00409A,主動復華全球50,178677662,1807089851,10,10,10,10,0.18,9361
1150922,00410A,主動永豐科技趨勢,5918496,73070015,12,12,12,12,0.09,1163
1150922,0050,元大台灣50,84309564,9518572935,113,113,111,111,0.5,88513
1150922,0051,元大中型100,38534,5704762,148,148,147,147,0.4,490
1150922,0052,富邦科技,16648532,1089249226,65,65,64,64,0.2,14158
1150922,0053,元大電子,161080,40717907,254,254,251,251,2.15,1276
1150922,0055,元大MSCI金融,841439,42421754,50,50,50,50,-0.25,3079
1150922,0056,元大高股息,38810100,2217556580,57,57,56,56,-0.3,37803
1150922,0057,富邦摩台,30189,10114856,334,337,333,334,3.0,807
1150922,0061,元大寶滬深,54013,1311320,24,24,24,24,0.14,151
1150922,006203,元大MSCI台灣,8960,1829841,204,205,203,203,2.35,765
1150922,006204,永豐臺灣加權,22235,5312508,238,239,238,239,1.05,113
1150922,006205,富邦上証,66117,2680284,40,40,40,40,0.19,179
1150922,006206,元大上證50,12286,464859,38,38,37,37,0.42,84
1150922,006207,復華滬深,117222,3800602,32,32,32,32,0.32,101
1150922,006208,富邦台50,2343443,604099463,258,259,255,255,1.0,8788
1150922,00625K,富邦上証+R,0,0,0,0,0,0,0.0,0
1150922,00631L,元大台灣50正2,219738712,8604239075,39,39,38,38,0.07,57037
1150922,00632R,元大台灣50反1,132363608,1250800695,9,9,9,9,-0.03,14773
1150922,00633L,富邦上証正2,2294621,111734241,48,49,48,48,1.05,720
1150922,00634R,富邦上証反1,470902,1466134,3,3,3,3,-0.04,26
1150922,00635U,期元大S&P黃金,2738395,122717670,44,44,44,44,-0.26,2816
1150922,00636,國泰中國A50,231182,6395840,27,27,27,27,0.24,227
1150922,00636K,國泰中國A50+U,700,6059,8,8,8,8,0.09,3
1150922,00637L,元大滬深300正2,22655739,454576487,19,20,19,19,0.39,3508
1150922,00638R,元大滬深300反1,62451,412453,6,6,6,6,-0.05,17
1150922,00639,富邦深100,357025,5813745,16,16,16,16,0.07,203
1150922,00640L,富邦日本正2,71681,7874320,110,110,109,109,1.5,104
1150922,00641R,富邦日本反1,467537,1699599,3,3,3,3,0.0,47
1150922,00642U,期元大S&P石油,2888209,92103961,31,32,31,32,-0.31,716
1150922,00643,群益深証中小,2927007,53846478,18,18,18,18,0.1,192
1150922,00643K,群益深証中小+R,10000,38750,3,3,3,3,0.0,2
1150922,00645,富邦日本,59785,3492588,58,58,58,58,0.45,265
1150922,00646,元大S&P500,5343832,414269449,77,77,77,77,0.8,2874
1150922,00647L,元大S&P500正2,97298,13680274,140,140,140,140,2.75,117
1150922,00648R,元大S&P500反1,424420,1644474,3,3,3,3,-0.05,85
1150922,00650L,復華香港正2,2198456,36724521,16,16,16,16,0.3,510
1150922,00651R,復華香港反1,84599,439467,5,5,5,5,-0.05,20
1150922,00652,富邦印度,144200,4624790,32,32,31,32,0.04,267
1150922,00653L,富邦印度正2,95207,4157781,43,43,43,43,0.01,68
1150922,00654R,富邦印度反1,123140,854808,6,6,6,6,-0.02,20
1150922,00655L,國泰中國A50正2,685532,23215784,33,34,33,33,0.77,313
1150922,00656R,國泰中國A50反1,6508,37791,5,5,5,5,0.0,6
1150922,00657,國泰日經225,10051,791004,79,79,78,78,1.25,111
1150922,00657K,國泰日經225+U,200,4860,24,24,24,24,0.09,2
1150922,00660,元大歐洲50,5543,255214,46,46,46,46,0.37,66
1150922,00661,元大日經225,894092,77025618,86,86,85,85,1.25,175
1150922,00662,富邦NASDAQ,3749271,465939362,124,124,124,124,2.45,3818
1150922,00663L,國泰臺灣加權正2,8836458,1000533328,114,114,111,111,0.55,3197
1150922,00664R,國泰臺灣加權反1,19612897,29971747,1,1,1,1,0.01,1256
