Date,Code,Name,TradeVolume,TradeValue,OpeningPrice,HighestPrice,LowestPrice,ClosingPrice,Change,Transaction
1150924,00400A,主動國泰動能高息,22871974,356726371,15,15,15,15,0.09,5535
1150924,00401A,主動摩根台灣鑫收,6473480,92406423,14,14,14,14,-0.04,1163
1150924,00402A,主動安聯美國科技,9443820,94855954,10,10,10,10,-0.05,1036
1150924,00403A,主動統一升級50,285018846,3089243229,10,10,10,10,0.07,40047
1150924,00404A,主動聯博動能50,5943021,58500278,9,9,9,9,-0.02,1611
1150924,00405A,主動富邦台灣龍耀,71028949,664459043,9,9,9,9,0.03,7726
1150924,00406A,主動中信台灣收益,234727738,2334657668,9,10,9,10,0.08,32429
1150924,00407A,主動凱基台灣,52283944,529462314,10,10,10,10,0.04,5481
1150924,00408A,主動第一金優股息,1467653,15411228,10,10,10,10,0.04,184
1150924,00409A,主動復華全球50,29277390,296851852,10,10,10,10,0.01,2361
1150924,00410A,主動永豐科技趨勢,2646396,32645270,12,12,12,12,0.06,614
1150924,0050,元大台灣50,70487939,7897568283,112,112,111,112,-0.05,77277
1150924,0051,元大中型100,61682,9065687,147,148,145,148,1.15,347
1150924,0052,富邦科技,10067500,656638573,65,65,64,65,-0.05,9502
1150924,0053,元大電子,148520,37522459,252,253,251,253,0.3,988
1150924,0055,元大MSCI金融,608620,30169166,49,49,49,49,-0.34,3853
1150924,0056,元大高股息,23158669,1303692237,56,56,56,56,0.05,26617
1150924,0057,富邦摩台,33417,11136823,333,334,332,333,-1.7,368
1150924,0061,元大寶滬深,93351,2234459,24,24,23,24,-0.02,126
1150924,006203,元大MSCI台灣,6855,1390351,203,203,203,203,-0.25,177
1150924,006204,永豐臺灣加權,22313,5320108,239,239,238,238,-1.1,107
1150924,006205,富邦上証,161238,6446883,40,40,39,39,-0.35,273
1150924,006206,元大上證50,9192,343241,37,37,37,37,-0.44,91
1150924,006207,復華滬深,148187,4701596,31,31,31,31,-0.34,121
1150924,006208,富邦台50,978191,250738327,256,256,255,256,-0.15,6121
1150924,00625K,富邦上証+R,0,0,0,0,0,0,0.0,0
1150924,00631L,元大台灣50正2,99591291,3857950145,38,38,38,38,-0.12,35564
1150924,00632R,元大台灣50反1,65314473,621620672,9,9,9,9,0.0,6524
1150924,00633L,富邦上証正2,2531667,118772883,47,47,46,46,-1.23,877
1150924,00634R,富邦上証反1,38598,122408,3,3,3,3,0.03,13
1150924,00635U,期元大S&P黃金,3043168,134690670,44,44,44,44,-0.51,3336
1150924,00636,國泰中國A50,407047,11069787,27,27,27,27,-0.29,187
1150924,00636K,國泰中國A50+U,200,1726,8,8,8,8,0.0,2
1150924,00637L,元大滬深300正2,24689148,478073790,19,19,19,19,-0.43,3208
1150924,00638R,元大滬深300反1,49022,331547,6,6,6,6,0.11,18
1150924,00639,富邦深100,770678,12197045,15,16,15,15,-0.19,217
1150924,00640L,富邦日本正2,108551,11676811,107,107,107,107,-3.2,114
1150924,00641R,富邦日本反1,1391000,5088870,3,3,3,3,0.05,34
1150924,00642U,期元大S&P石油,1228665,38606658,31,31,31,31,0.8,665
1150924,00643,群益深証中小,1751477,31224704,18,18,17,17,-0.3,170
1150924,00643K,群益深証中小+R,0,0,0,0,0,0,0.0,0
1150924,00645,富邦日本,170343,9849380,58,58,57,57,-0.85,340
1150924,00646,元大S&P500,1553705,119815296,77,77,77,77,-0.45,3463
1150924,00647L,元大S&P500正2,3597,498269,138,138,138,138,-2.9,43
1150924,00648R,元大S&P500反1,237371,928708,3,3,3,3,0.03,33
1150924,00650L,復華香港正2,972065,15749825,16,16,16,16,-0.17,246
1150924,00651R,復華香港反1,221498,1174223,5,5,5,5,0.07,20
1150924,00652,富邦印度,176412,5635594,32,32,31,31,-0.16,227
1150924,00653L,富邦印度正2,83129,3565770,43,43,42,42,-0.66,76
1150924,00654R,富邦印度反1,134162,937622,6,7,6,7,0.06,21
1150924,00655L,國泰中國A50正2,684407,22343151,33,33,32,32,-0.75,282
1150924,00656R,國泰中國A50反1,15014,89413,5,5,5,5,0.08,8
1150924,00657,國泰日經225,4173,324774,77,77,77,77,-1.25,65
1150924,00657K,國泰日經225+U,200,4862,24,24,24,24,0.0,2
1150924,00660,元大歐洲50,2664,121521,45,45,45,45,-0.54,90
1150924,00661,元大日經225,43371,3698478,86,86,84,84,-1.3,161
1150924,00662,富邦NASDAQ,2728646,339467959,124,124,124,124,-0.75,3541
1150924,00663L,國泰臺灣加權正2,3712466,415534614,111,112,111,112,-0.3,1779
1150924,00664R,國泰臺灣加權反1,13079030,20131568,1,1,1,1,-0.01,668
1150924,00665L,富邦恒生國企正2,3939686,35273293,9,9,8,8,-0.08,554
1150924,00666R,富邦恒生國企反1,31142,288503,9,9,9,9,0.07,28
1150924,00668,國泰美國道瓊,25001,1498278,59,60,59,59,-0.45,140
1150924,00668K,國泰美國道瓊+U,200,3802,19,19,19,19,0.0,2
1150924,00669R,國泰美國道瓊反1,620500,3340284,5,5,5,5,0.07,84
1150924,00670L,富邦NASDAQ正2,822113,173483147,211,211,210,211,-4.2,964
1150924,00671R,富邦NASDAQ反1,1951410,4588419,2,2,2,2,0.02,102
1150924,00673R,期元大S&P原油反1,24270775,259343133,10,10,10,10,-0.25,3228
1150924,00674R,期元大S&P黃金反1,103290,2945872,28,28,28,28,0.41,50
1150924,00675L,富邦臺灣加權正2,538580,182673581,338,341,337,340,-1.1,791
1150924,00676R,富邦臺灣加權反1,3366523,17676175,5,5,5,5,-0.02,305
1150924,00678,群益那斯達克生技,348598,14937852,42,42,42,42,-0.67,108
1150924,00680L,元大美債20正2,21653843,132307045,6,6,6,6,-0.22,1453
1150924,00681R,元大美債20反1,78740,1753006,22,22,22,22,0.54,15
1150924,00682U,期元大美元指數,2001,41720,20,20,20,20,0.0,3
1150924,00683L,期元大美元指正2,23260,514177,22,22,22,22,0.11,14
1150924,00684R,期元大美元指反1,1000,14890,14,14,14,14,-0.09,1
1150924,00685L,群益臺灣加權正2,136663568,1749616493,12,12,12,12,-0.02,25466
1150924,00686R,群益臺灣加權反1,4285600,4025410,0,0,0,0,-0.01,160
1150924,00688L,國泰20年美債正2,9604028,58430675,6,6,6,6,-0.24,862
1150924,00689R,國泰20年美債反1,110000,2565120,23,23,23,23,0.54,5
1150924,00690,兆豐藍籌30,252492,21080036,83,83,83,83,0.3,499
1150924,00692,富邦公司治理,595942,57285875,96,96,95,96,0.2,734
1150924,00693U,期街口S&P黃豆,413826,9943278,24,24,23,24,0.07,179
1150924,00700,富邦恒生國企,121924,2071542,16,17,16,16,-0.06,153
1150924,00701,國泰股利精選30,329246,13683964,41,41,41,41,-0.37,554
1150924,00702,國泰標普低波高息,111943,2636161,23,23,23,23,-0.06,92
1150924,00703,台新MSCI中國,30556,579898,18,19,18,18,-0.16,19
1150924,00706L,期元大S&P日圓正2,395559,7574670,19,19,19,19,-0.05,139
1150924,00707R,期元大S&P日圓反1,2000,63800,31,31,31,31,0.0,1
1150924,00708L,期元大S&P黃金正2,5375874,411537142,76,77,76,76,-1.8,4323
1150924,00709,富邦歐洲,9938,392464,39,39,39,39,-0.39,139
1150924,00710B,復華彭博非投等債,273800,5130112,18,18,18,18,-0.05,84
1150924,00711B,復華彭博新興債,122020,1852272,15,15,15,15,-0.12,6
1150924,00712,復華富時不動產,98378353,769719343,7,7,7,7,-0.16,22518
1150924,00713,元大台灣高息低波,4273408,270507039,63,63,63,63,-0.45,4555
1150924,00714,群益道瓊美國地產,209028,4340557,20,20,20,20,-0.22,95
1150924,00715L,期街口布蘭特正2,3561250,229532261,64,65,64,64,4.0,1491
1150924,00717,富邦美國特別股,88204,1282370,14,14,14,14,-0.08,129
1150924,00728,第一金工業30,81421,5695989,70,70,69,70,-0.15,338
1150924,00730,富邦臺灣優質高息,295382,8616102,29,29,28,29,0.2,243
1150924,00731,復華富時高息低波,507069,49731105,97,98,97,98,-0.75,137
1150924,00733,富邦臺灣中小,532767,37260912,69,70,69,70,1.0,631
1150924,00735,國泰臺韓科技,720931,78547722,109,109,108,109,-0.6,1090
1150924,00736,國泰新興市場,106951,3400696,31,31,31,31,-0.2,86
1150924,00737,國泰AI機器人,39247,1614776,40,41,40,41,-0.03,111
1150924,00738U,期元大道瓊白銀,2760364,140562994,51,51,50,51,-1.6,1848
1150924,00739,元大MSCI A股,92963,2538585,27,27,27,27,-0.41,86
1150924,00752,中信中國50,715966,16116848,22,22,22,22,-0.17,403
1150924,00753L,中信中國50正2,13907137,123366693,8,8,8,8,-0.14,2276
1150924,00757,統一FANG+,590577,84781624,143,143,143,143,-1.4,1274
1150924,00762,元大全球AI,99182,12086225,121,122,121,121,-0.9,333
1150924,00763U,期街口道瓊銅,310226,10960155,35,35,35,35,-0.21,155
1150924,00770,國泰北美科技,309576,20190845,65,65,65,65,-0.35,638
1150924,00771,元大US高息特別股,11169,168232,15,15,15,15,-0.01,81
1150924,00775B,台新投等債15+,80000,2432000,30,30,30,30,-0.45,2
1150924,00783,富邦中証500,79934,2223867,27,27,27,27,-0.35,150
1150924,00830,國泰費城半導體,7034798,618499584,87,88,87,88,-0.6,8528
1150924,00850,元大臺灣ESG永續,285976,27466912,96,96,95,96,-0.05,683
1150924,00851,台新全球AI,45078,3295570,73,73,73,73,-0.2,118
1150924,00852L,國泰美國道瓊正2,347110,11433955,33,33,32,32,-0.56,174
1150924,00861,元大全球未來通訊,40412,3557261,88,88,86,88,-0.5,245
1150924,00865B,國泰US短期公債,2854547,139595413,48,48,48,48,0.19,581
1150924,00875,國泰網路資安,193800,11346300,58,58,58,58,0.75,1734
1150924,00876,元大全球5G,102067,9180771,90,90,89,89,-0.5,338
1150924,00878,國泰永續高股息,35768976,1246836379,34,34,34,34,-0.21,31524
1150924,00881,國泰台灣科技龍頭,10441856,547101772,52,52,52,52,-0.1,6506
1150924,00882,中信中國高股息,2561025,37804504,14,14,14,14,0.0,813
1150924,00885,富邦越南,1664304,30154869,18,18,18,18,-0.23,957
1150924,00891,中信關鍵半導體,11363016,427176262,37,37,37,37,0.07,5751
1150924,00892,富邦台灣半導體,4463227,192778798,43,43,43,43,-0.38,1999
1150924,00893,國泰智能電動車,178011,8188870,46,46,45,45,-0.23,333
1150924,00894,中信小資高價30,644056,32273929,50,50,49,50,0.25,810
1150924,00895,富邦未來車,134104,6980565,52,52,52,52,-0.15,247
1150924,00896,中信綠能及電動車,2436153,66969865,27,27,27,27,0.02,1660
1150924,00897,富邦基因免疫生技,289386,3921613,13,13,13,13,-0.27,273
1150924,00898,國泰基因免疫革命,1059038,12185570,11,11,11,11,-0.27,292
1150924,00899,FT潔淨能源,11428,260222,22,22,22,22,-0.22,117
1150924,00900,富邦特選高股息30,2146925,41766360,19,19,19,19,-0.05,872
1150924,00901,永豐智能車供應鏈,196920,9526042,48,48,48,48,0.09,175
1150924,00902,中信電池及儲能,573481,7148829,12,12,12,12,-0.1,404
1150924,00903,富邦元宇宙,54031,1193854,22,22,22,22,-0.21,154
1150924,00904,台新臺灣半導體30,687310,29776150,43,43,43,43,-0.13,581
1150924,00905,FT臺灣Smart,577311,15897901,27,27,27,27,-0.03,840
1150924,00907,永豐優息存股,615384,10921554,17,17,17,17,-0.08,386
1150924,00908,富邦入息REITs+,76557,1120672,14,14,14,14,-0.12,57
1150924,00909,國泰數位支付服務,670078,34319153,51,51,51,51,-1.5,1131
1150924,00910,第一金太空衛星,431007,25067039,58,58,58,58,-1.3,1043
1150924,00911,兆豐洲際半導體,528765,29689283,56,56,55,56,-0.9,2546
1150924,00912,中信臺灣智慧50,211273,7692570,36,36,36,36,-0.2,366
1150924,00913,兆豐台灣晶圓製造,1942094,101250152,52,52,51,52,-0.3,1851
1150924,00915,凱基優選高股息30,485529,15967607,33,33,32,33,-0.2,552
1150924,00916,國泰全球品牌50,164386,4439121,27,27,26,26,-0.18,251
1150924,00917,中信特選金融,886740,20236109,22,22,22,22,-0.06,714
1150924,00918,大華優利高填息30,42850822,1452017454,33,34,33,33,-0.05,28800
1150924,00919,群益台灣精選高息,86095342,2741372055,31,31,31,31,-0.23,63375
1150924,00920,富邦ESG綠色電力,22142,550436,25,25,24,24,-0.05,155
1150924,00921,兆豐龍頭等權重,332118,7755517,23,23,23,23,-0.02,247
1150924,00922,國泰台灣領袖50,6527059,285310652,43,43,43,43,0.08,5277
1150924,00923,群益台ESG低碳50,3738387,156025410,41,41,41,41,-0.06,1736
1150924,00924,復華S&P500成長,1066472,35890358,33,33,33,33,-0.27,1170
1150924,00926,凱基全球菁英55,273480,7261798,26,26,26,26,-0.26,220
1150924,00927,群益半導體收益,18530840,733311693,39,39,39,39,-0.12,10216
1150924,00929,復華台灣科技優息,19999258,579959170,29,29,28,29,0.04,9111
1150924,00930,永豐ESG低碳高息,949587,22657229,23,23,23,23,-0.08,695
1150924,00932,兆豐永續高息等權,399218,6960076,17,17,17,17,0.0,135
1150924,00934,中信成長高股息,2160905,64252397,29,29,29,29,-0.07,1183
1150924,00935,野村臺灣新科技50,9452077,580162750,61,61,61,61,0.2,5810
1150924,00936,台新永續高息中小,192022,4094720,21,21,21,21,-0.01,184
1150924,00938,凱基優選30,275410,7419712,26,26,26,26,-0.14,192
1150924,00939,統一台灣高息動能,1242826,29955627,24,24,24,24,-0.1,1034
1150924,00940,元大台灣價值高息,6950406,90752012,13,13,13,13,-0.02,1812
1150924,00941,中信上游半導體,890976,22468263,25,25,25,25,0.04,366
1150924,00943,兆豐電子高息等權,19686,411529,20,21,20,20,0.01,87
1150924,00944,野村趨勢動能高息,51995,1138907,22,22,21,22,0.0,150
1150924,00945B,凱基美國非投等債,4347226,62117309,14,14,14,14,-0.02,543
1150924,00946,群益科技高息成長,1219934,18524446,15,15,15,15,-0.02,450
1150924,00947,台新臺灣IC設計,5722037,231356170,40,40,40,40,-0.11,2903
1150924,00949,復華日本龍頭,2203271,48202248,22,22,21,21,-0.34,351
1150924,00951,台新日本半導體,1442936,25129077,17,17,17,17,-0.14,543
1150924,00952,凱基台灣AI50,774979,14097866,18,18,18,18,-0.03,376
1150924,00953B,群益優選非投等債,44423832,424064194,9,9,9,9,-0.02,5828
1150924,00954,中信日本半導體,1323155,24605709,18,18,18,18,-0.04,363
1150924,00956,中信日經高股息,224250,3034523,13,13,13,13,-0.17,243
1150924,00960,野村全球航運龍頭,428083,9432581,22,22,21,22,-0.19,1943
1150924,00961,FT臺灣永續高息,19663222,259219055,13,13,13,13,-0.01,5696
1150924,00962,台新AI優息動能,2370985,35456793,14,15,14,15,0.02,849
1150924,00963,中信全球高股息,1637096,20689175,12,12,12,12,-0.11,654
1150924,00964,中信亞太高股息,1118124,16430837,14,14,14,14,-0.02,360
1150924,00965,元大航太防衛科技,486894,12397526,25,25,25,25,0.0,446
1150924,00971,野村美國研發龍頭,55249,982215,17,17,17,17,-0.14,136
1150924,00972,野村日本動能高息,70155,1523244,21,21,21,21,-0.28,58
1150924,009800,中信NASDAQ,1070235,14399543,13,13,13,13,-0.08,448
1150924,009801,中信美國創新科技,629130,7331542,11,11,11,11,-0.12,227
1150924,009802,富邦旗艦50,3223381,64569333,20,20,19,20,-0.07,966
1150924,009803,玉山市值動能50,2556383,55208615,21,21,21,21,0.0,1371
1150924,009804,聯邦台精彩50,756367,18185228,24,24,23,24,0.02,352
1150924,009805,台新美國電力基建,2279294,34137158,15,15,14,14,-0.2,1474
1150924,009808,華南永昌優選50,39234,1260385,32,32,32,32,-0.13,34
1150924,009809,富邦淨零ESG50,321378,5952374,18,18,18,18,-0.13,82
1150924,00980A,主動野村臺灣優選,3989759,101744772,25,25,25,25,0.05,1504
1150924,009810,玉山全球藍籌100,192230,4105563,21,21,21,21,-0.18,54
1150924,009811,統一美國50,922332,12471661,13,13,13,13,-0.09,318
1150924,009812,野村日本東證,603123,7796151,13,13,12,12,-0.12,176
1150924,009813,貝萊德標普卓越50,1163196,13374699,11,11,11,11,-0.1,257
1150924,009816,凱基台灣TOP50,76056880,1258303654,16,16,16,16,-0.03,26743
1150924,009817,國泰日本不動產,1711437,15257670,8,9,8,8,0.03,298
1150924,009818,華南永昌NASDAQxT,41818,880287,21,21,21,21,-0.18,26
1150924,009819,中信數據及電力,1458102,14165097,9,9,9,9,-0.1,911
1150924,00981A,主動統一台股增長,163174741,5013234497,30,30,30,30,0.2,42598
1150924,00981T,平衡凱基雙核收息,1242002,14663506,11,11,11,11,-0.06,310
1150924,009820,元大納斯達克精選,8807443,91609471,10,10,10,10,-0.07,801
