Date,Code,Name,TradeVolume,TradeValue,OpeningPrice,HighestPrice,LowestPrice,ClosingPrice,Change,Transaction
1150904,00400A,主動國泰動能高息,40967762,617618687,15,15,14,15,0.29,7174
1150904,00401A,主動摩根台灣鑫收,5626685,79251678,14,14,13,14,0.17,839
1150904,00402A,主動安聯美國科技,1845411,17472033,9,9,9,9,0.16,645
1150904,00403A,主動統一升級50,134610878,1373651907,10,10,10,10,0.2,17871
1150904,00404A,主動聯博動能50,11639856,114313302,9,9,9,9,0.16,1534
1150904,00405A,主動富邦台灣龍耀,38522995,333785485,8,8,8,8,0.11,4663
1150904,00406A,主動中信台灣收益,125639325,1196900636,9,9,9,9,0.11,20635
1150904,00407A,主動凱基台灣,28833124,278947409,9,9,9,9,0.17,3225
1150904,00408A,主動第一金優股息,3071603,32165001,10,10,10,10,0.18,213
1150904,00409A,主動復華全球50,56501502,555254681,9,9,9,9,0.31,5290
1150904,00410A,主動永豐科技趨勢,10194523,122291866,12,12,11,12,0.34,1445
1150904,0050,元大台灣50,46705557,5017991081,107,108,106,107,1.7,49703
1150904,0051,元大中型100,40803,5906634,144,145,144,145,1.95,390
1150904,0052,富邦科技,10899217,679516857,62,62,61,62,1.1,8555
1150904,0053,元大電子,26407,6417653,242,243,241,243,3.95,695
1150904,0055,元大MSCI金融,984778,47843501,48,49,48,49,0.8,1872
1150904,0056,元大高股息,22979939,1266699879,55,55,54,55,0.9,16346
1150904,0057,富邦摩台,30924,9935314,320,321,320,321,3.85,536
1150904,0061,元大寶滬深,148246,3605250,24,24,24,24,0.31,162
1150904,006203,元大MSCI台灣,9841,1920317,194,195,194,195,2.05,531
1150904,006204,永豐臺灣加權,2187,503825,232,232,232,232,1.45,93
1150904,006205,富邦上証,371144,15137930,40,40,40,40,0.28,172
1150904,006206,元大上證50,114751,4381650,38,38,38,38,0.39,133
1150904,006207,復華滬深,117730,3799592,32,32,32,32,0.32,70
1150904,006208,富邦台50,1594212,392563337,246,247,245,247,3.45,6567
1150904,00625K,富邦上証+R,0,0,0,0,0,0,0.0,0
1150904,00631L,元大台灣50正2,149757483,5434412870,36,36,35,36,1.23,38559
1150904,00632R,元大台灣50反1,113182173,1114971087,9,9,9,9,-0.19,12653
1150904,00633L,富邦上証正2,1393172,68071114,48,49,48,48,1.22,459
1150904,00634R,富邦上証反1,25848,80368,3,3,3,3,-0.04,19
1150904,00635U,期元大S&P黃金,2939587,135807317,46,46,46,46,0.45,2090
1150904,00636,國泰中國A50,244769,6777876,27,27,27,27,0.37,170
1150904,00636K,國泰中國A50+U,200,1748,8,8,8,8,0.04,2
1150904,00637L,元大滬深300正2,16116742,323517412,19,20,19,20,0.51,3119
1150904,00638R,元大滬深300反1,45699,302813,6,6,6,6,-0.08,16
1150904,00639,富邦深100,769670,12442317,16,16,16,16,0.09,233
1150904,00640L,富邦日本正2,73329,7911011,107,108,107,108,0.8,70
1150904,00641R,富邦日本反1,323098,1185720,3,3,3,3,0.0,32
1150904,00642U,期元大S&P石油,3122901,94894171,30,30,30,30,0.32,852
1150904,00643,群益深証中小,1701391,30829540,18,18,18,18,0.08,118
1150904,00643K,群益深証中小+R,5000,19150,3,3,3,3,0.0,1
1150904,00645,富邦日本,112772,6525099,57,58,57,58,0.25,207
1150904,00646,元大S&P500,6044591,468209891,77,77,77,77,1.05,2649
1150904,00647L,元大S&P500正2,125162,17565550,140,140,140,140,3.3,63
1150904,00648R,元大S&P500反1,1106836,4305311,3,3,3,3,-0.06,85
1150904,00650L,復華香港正2,4244947,74089073,17,17,17,17,0.72,949
1150904,00651R,復華香港反1,224810,1146134,5,5,5,5,-0.1,58
1150904,00652,富邦印度,69546,2298934,33,33,33,33,-0.09,171
1150904,00653L,富邦印度正2,30787,1407635,45,45,45,45,0.13,30
1150904,00654R,富邦印度反1,92000,621920,6,6,6,6,0.02,2
1150904,00655L,國泰中國A50正2,483744,16442261,33,34,33,34,0.93,188
